[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[DATA] Loading JSON...
[DATA] Total records: 558128
[DATA] Train: 553128 | Val: 5000
[MODEL] Loading processors...
[MODEL] Loading CLIP...
[MODEL] Loading Gemma...
[MODEL] Building proj1...
[MODEL] Trainable params: 7.35M

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (1080 batches)

[Epoch 1/5] Step 1/1080 | Loss 6.3628 (avg 6.3628) | Batch 1.74s | Elapsed 4s | ETA 1h 18m 14s | Samples/s 295
[Epoch 1/5] Step 2/1080 | Loss 6.3677 (avg 6.3653) | Batch 1.42s | Elapsed 8s | ETA 1h 13m 48s | Samples/s 361
[Epoch 1/5] Step 3/1080 | Loss 6.3515 (avg 6.3607) | Batch 1.42s | Elapsed 11s | ETA 1h 11m 12s | Samples/s 361
[Epoch 1/5] Step 4/1080 | Loss 6.3439 (avg 6.3565) | Batch 1.42s | Elapsed 15s | ETA 1h 9m 43s | Samples/s 361
[Epoch 1/5] Step 5/1080 | Loss 6.3386 (avg 6.3529) | Batch 1.42s | Elapsed 19s | ETA 1h 8m 44s | Samples/s 361
[Epoch 1/5] Step 6/1080 | Loss 6.3333 (avg 6.3496) | Batch 1.42s | Elapsed 22s | ETA 1h 7m 57s | Samples/s 361
[Epoch 1/5] Step 7/1080 | Loss 6.3133 (avg 6.3444) | Batch 1.42s | Elapsed 26s | ETA 1h 7m 32s | Samples/s 361
[Epoch 1/5] Step 8/1080 | Loss 6.3024 (avg 6.3392) | Batch 1.42s | Elapsed 30s | ETA 1h 7m 10s | Samples/s 361
[Epoch 1/5] Step 9/1080 | Loss 6.2789 (avg 6.3325) | Batch 1.42s | Elapsed 33s | ETA 1h 6m 47s | Samples/s 361
[Epoch 1/5] Step 10/1080 | Loss 6.2672 (avg 6.3260) | Batch 1.42s | Elapsed 37s | ETA 1h 6m 34s | Samples/s 361
[Epoch 1/5] Step 11/1080 | Loss 6.2432 (avg 6.3184) | Batch 1.42s | Elapsed 40s | ETA 1h 6m 21s | Samples/s 361
[Epoch 1/5] Step 12/1080 | Loss 6.2311 (avg 6.3112) | Batch 1.42s | Elapsed 44s | ETA 1h 6m 7s | Samples/s 361
[Epoch 1/5] Step 13/1080 | Loss 6.2073 (avg 6.3032) | Batch 1.42s | Elapsed 48s | ETA 1h 5m 59s | Samples/s 361
[Epoch 1/5] Step 14/1080 | Loss 6.1858 (avg 6.2948) | Batch 1.42s | Elapsed 51s | ETA 1h 5m 51s | Samples/s 361
[Epoch 1/5] Step 15/1080 | Loss 6.1787 (avg 6.2870) | Batch 1.42s | Elapsed 55s | ETA 1h 5m 43s | Samples/s 361
[Epoch 1/5] Step 16/1080 | Loss 6.1387 (avg 6.2778) | Batch 1.42s | Elapsed 59s | ETA 1h 5m 38s | Samples/s 361
[Epoch 1/5] Step 17/1080 | Loss 6.1398 (avg 6.2697) | Batch 1.42s | Elapsed 1m 2s | ETA 1h 5m 34s | Samples/s 361
[Epoch 1/5] Step 18/1080 | Loss 6.1026 (avg 6.2604) | Batch 1.42s | Elapsed 1m 6s | ETA 1h 5m 33s | Samples/s 361
[Epoch 1/5] Step 19/1080 | Loss 6.0780 (avg 6.2508) | Batch 1.42s | Elapsed 1m 10s | ETA 1h 5m 33s | Samples/s 361
[Epoch 1/5] Step 20/1080 | Loss 6.0635 (avg 6.2414) | Batch 1.42s | Elapsed 1m 14s | ETA 1h 5m 32s | Samples/s 360
[Epoch 1/5] Step 21/1080 | Loss 6.0412 (avg 6.2319) | Batch 1.42s | Elapsed 1m 17s | ETA 1h 5m 31s | Samples/s 361
[Epoch 1/5] Step 22/1080 | Loss 6.0294 (avg 6.2227) | Batch 1.42s | Elapsed 1m 21s | ETA 1h 5m 29s | Samples/s 360
[Epoch 1/5] Step 23/1080 | Loss 6.0278 (avg 6.2142) | Batch 1.42s | Elapsed 1m 25s | ETA 1h 5m 28s | Samples/s 361
[Epoch 1/5] Step 24/1080 | Loss 5.9768 (avg 6.2043) | Batch 1.42s | Elapsed 1m 29s | ETA 1h 5m 26s | Samples/s 360
[Epoch 1/5] Step 25/1080 | Loss 5.9958 (avg 6.1960) | Batch 1.42s | Elapsed 1m 33s | ETA 1h 5m 25s | Samples/s 360
[Epoch 1/5] Step 26/1080 | Loss 5.9968 (avg 6.1883) | Batch 1.42s | Elapsed 1m 36s | ETA 1h 5m 26s | Samples/s 360
[Epoch 1/5] Step 27/1080 | Loss 5.9356 (avg 6.1790) | Batch 1.42s | Elapsed 1m 40s | ETA 1h 5m 26s | Samples/s 360
[Epoch 1/5] Step 28/1080 | Loss 5.9297 (avg 6.1701) | Batch 1.42s | Elapsed 1m 44s | ETA 1h 5m 25s | Samples/s 360
[Epoch 1/5] Step 29/1080 | Loss 5.9102 (avg 6.1611) | Batch 1.42s | Elapsed 1m 48s | ETA 1h 5m 25s | Samples/s 360
[Epoch 1/5] Step 30/1080 | Loss 5.9061 (avg 6.1526) | Batch 1.42s | Elapsed 1m 52s | ETA 1h 5m 25s | Samples/s 360
[Epoch 1/5] Step 31/1080 | Loss 5.8812 (avg 6.1438) | Batch 1.42s | Elapsed 1m 55s | ETA 1h 5m 22s | Samples/s 360
[Epoch 1/5] Step 32/1080 | Loss 5.8689 (avg 6.1352) | Batch 1.42s | Elapsed 1m 59s | ETA 1h 5m 19s | Samples/s 360
[Epoch 1/5] Step 33/1080 | Loss 5.8788 (avg 6.1275) | Batch 1.42s | Elapsed 2m 3s | ETA 1h 5m 16s | Samples/s 360
[Epoch 1/5] Step 34/1080 | Loss 5.8555 (avg 6.1195) | Batch 1.42s | Elapsed 2m 7s | ETA 1h 5m 8s | Samples/s 360
[Epoch 1/5] Step 35/1080 | Loss 5.8230 (avg 6.1110) | Batch 1.42s | Elapsed 2m 10s | ETA 1h 5m 5s | Samples/s 360
[Epoch 1/5] Step 36/1080 | Loss 5.7923 (avg 6.1022) | Batch 1.42s | Elapsed 2m 14s | ETA 1h 5m 2s | Samples/s 360
[Epoch 1/5] Step 37/1080 | Loss 5.7346 (avg 6.0922) | Batch 1.42s | Elapsed 2m 18s | ETA 1h 5m 0s | Samples/s 360
[Epoch 1/5] Step 38/1080 | Loss 5.7557 (avg 6.0834) | Batch 1.42s | Elapsed 2m 22s | ETA 1h 4m 59s | Samples/s 360
[Epoch 1/5] Step 39/1080 | Loss 5.7173 (avg 6.0740) | Batch 1.42s | Elapsed 2m 25s | ETA 1h 4m 55s | Samples/s 360
[Epoch 1/5] Step 40/1080 | Loss 5.7066 (avg 6.0648) | Batch 1.42s | Elapsed 2m 29s | ETA 1h 4m 53s | Samples/s 360
[Epoch 1/5] Step 41/1080 | Loss 5.6770 (avg 6.0553) | Batch 1.42s | Elapsed 2m 33s | ETA 1h 4m 46s | Samples/s 360
[Epoch 1/5] Step 42/1080 | Loss 5.6986 (avg 6.0468) | Batch 1.42s | Elapsed 2m 37s | ETA 1h 4m 42s | Samples/s 360
[Epoch 1/5] Step 43/1080 | Loss 5.6754 (avg 6.0382) | Batch 1.42s | Elapsed 2m 40s | ETA 1h 4m 37s | Samples/s 360
[Epoch 1/5] Step 44/1080 | Loss 5.6721 (avg 6.0299) | Batch 1.42s | Elapsed 2m 44s | ETA 1h 4m 32s | Samples/s 360
[Epoch 1/5] Step 45/1080 | Loss 5.6198 (avg 6.0208) | Batch 1.42s | Elapsed 2m 48s | ETA 1h 4m 27s | Samples/s 360
[Epoch 1/5] Step 46/1080 | Loss 5.6391 (avg 6.0125) | Batch 1.42s | Elapsed 2m 51s | ETA 1h 4m 19s | Samples/s 360
[Epoch 1/5] Step 47/1080 | Loss 5.5936 (avg 6.0036) | Batch 1.42s | Elapsed 2m 55s | ETA 1h 4m 14s | Samples/s 360
[Epoch 1/5] Step 48/1080 | Loss 5.6067 (avg 5.9953) | Batch 1.42s | Elapsed 2m 59s | ETA 1h 4m 8s | Samples/s 360
[Epoch 1/5] Step 49/1080 | Loss 5.5861 (avg 5.9869) | Batch 1.42s | Elapsed 3m 2s | ETA 1h 4m 4s | Samples/s 360
[Epoch 1/5] Step 50/1080 | Loss 5.6011 (avg 5.9792) | Batch 1.42s | Elapsed 3m 6s | ETA 1h 4m 0s | Samples/s 360
[Epoch 1/5] Step 51/1080 | Loss 5.5747 (avg 5.9713) | Batch 1.42s | Elapsed 3m 10s | ETA 1h 3m 55s | Samples/s 360
[Epoch 1/5] Step 52/1080 | Loss 5.5219 (avg 5.9627) | Batch 1.42s | Elapsed 3m 13s | ETA 1h 3m 52s | Samples/s 360
[Epoch 1/5] Step 53/1080 | Loss 5.4790 (avg 5.9535) | Batch 1.42s | Elapsed 3m 17s | ETA 1h 3m 48s | Samples/s 360
[Epoch 1/5] Step 54/1080 | Loss 5.5090 (avg 5.9453) | Batch 1.42s | Elapsed 3m 21s | ETA 1h 3m 45s | Samples/s 360
[Epoch 1/5] Step 55/1080 | Loss 5.4765 (avg 5.9368) | Batch 1.42s | Elapsed 3m 24s | ETA 1h 3m 38s | Samples/s 360
[Epoch 1/5] Step 56/1080 | Loss 5.5157 (avg 5.9293) | Batch 1.42s | Elapsed 3m 28s | ETA 1h 3m 35s | Samples/s 360
[Epoch 1/5] Step 57/1080 | Loss 5.5116 (avg 5.9219) | Batch 1.42s | Elapsed 3m 32s | ETA 1h 3m 30s | Samples/s 359
[Epoch 1/5] Step 58/1080 | Loss 5.4889 (avg 5.9145) | Batch 1.43s | Elapsed 3m 36s | ETA 1h 3m 29s | Samples/s 359
[Epoch 1/5] Step 59/1080 | Loss 5.5175 (avg 5.9077) | Batch 1.42s | Elapsed 3m 39s | ETA 1h 3m 26s | Samples/s 359
[Epoch 1/5] Step 60/1080 | Loss 5.5159 (avg 5.9012) | Batch 1.42s | Elapsed 3m 43s | ETA 1h 3m 25s | Samples/s 359
[Epoch 1/5] Step 61/1080 | Loss 5.3928 (avg 5.8929) | Batch 1.42s | Elapsed 3m 47s | ETA 1h 3m 22s | Samples/s 359
[Epoch 1/5] Step 62/1080 | Loss 5.4544 (avg 5.8858) | Batch 1.42s | Elapsed 3m 51s | ETA 1h 3m 20s | Samples/s 359
[Epoch 1/5] Step 63/1080 | Loss 5.4321 (avg 5.8786) | Batch 1.42s | Elapsed 3m 55s | ETA 1h 3m 16s | Samples/s 359
[Epoch 1/5] Step 64/1080 | Loss 5.4296 (avg 5.8716) | Batch 1.42s | Elapsed 3m 58s | ETA 1h 3m 13s | Samples/s 359
[Epoch 1/5] Step 65/1080 | Loss 5.3872 (avg 5.8641) | Batch 1.42s | Elapsed 4m 2s | ETA 1h 3m 10s | Samples/s 359
[Epoch 1/5] Step 66/1080 | Loss 5.4321 (avg 5.8576) | Batch 1.42s | Elapsed 4m 6s | ETA 1h 3m 6s | Samples/s 359
[Epoch 1/5] Step 67/1080 | Loss 5.4569 (avg 5.8516) | Batch 1.43s | Elapsed 4m 10s | ETA 1h 3m 3s | Samples/s 359
[Epoch 1/5] Step 68/1080 | Loss 5.4125 (avg 5.8451) | Batch 1.43s | Elapsed 4m 14s | ETA 1h 3m 0s | Samples/s 359
[Epoch 1/5] Step 69/1080 | Loss 5.3922 (avg 5.8386) | Batch 1.42s | Elapsed 4m 17s | ETA 1h 2m 57s | Samples/s 359
[Epoch 1/5] Step 70/1080 | Loss 5.3435 (avg 5.8315) | Batch 1.43s | Elapsed 4m 21s | ETA 1h 2m 53s | Samples/s 359
[Epoch 1/5] Step 71/1080 | Loss 5.4125 (avg 5.8256) | Batch 1.42s | Elapsed 4m 25s | ETA 1h 2m 50s | Samples/s 359
[Epoch 1/5] Step 72/1080 | Loss 5.3330 (avg 5.8188) | Batch 1.42s | Elapsed 4m 28s | ETA 1h 2m 45s | Samples/s 359
[Epoch 1/5] Step 73/1080 | Loss 5.3365 (avg 5.8122) | Batch 1.43s | Elapsed 4m 32s | ETA 1h 2m 41s | Samples/s 359
[Epoch 1/5] Step 74/1080 | Loss 5.3597 (avg 5.8060) | Batch 1.43s | Elapsed 4m 36s | ETA 1h 2m 37s | Samples/s 359
[Epoch 1/5] Step 75/1080 | Loss 5.3922 (avg 5.8005) | Batch 1.43s | Elapsed 4m 40s | ETA 1h 2m 34s | Samples/s 359
[Epoch 1/5] Step 76/1080 | Loss 5.2735 (avg 5.7936) | Batch 1.42s | Elapsed 4m 43s | ETA 1h 2m 30s | Samples/s 359
[Epoch 1/5] Step 77/1080 | Loss 5.2880 (avg 5.7870) | Batch 1.43s | Elapsed 4m 47s | ETA 1h 2m 26s | Samples/s 359
[Epoch 1/5] Step 78/1080 | Loss 5.2595 (avg 5.7803) | Batch 1.43s | Elapsed 4m 51s | ETA 1h 2m 21s | Samples/s 359
[Epoch 1/5] Step 79/1080 | Loss 5.3098 (avg 5.7743) | Batch 1.43s | Elapsed 4m 54s | ETA 1h 2m 16s | Samples/s 359
[Epoch 1/5] Step 80/1080 | Loss 5.2804 (avg 5.7681) | Batch 1.43s | Elapsed 4m 58s | ETA 1h 2m 12s | Samples/s 359
[Epoch 1/5] Step 81/1080 | Loss 5.2527 (avg 5.7618) | Batch 1.43s | Elapsed 5m 2s | ETA 1h 2m 7s | Samples/s 359
[Epoch 1/5] Step 82/1080 | Loss 5.2858 (avg 5.7560) | Batch 1.43s | Elapsed 5m 5s | ETA 1h 2m 2s | Samples/s 359
[Epoch 1/5] Step 83/1080 | Loss 5.3217 (avg 5.7507) | Batch 1.42s | Elapsed 5m 9s | ETA 1h 1m 58s | Samples/s 359
