[DEVICE] cuda
[GPU] NVIDIA H100 PCIe | VRAM 85.0GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 1m 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 1m 0s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 30s (34602 tensors)
/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 20/290 [00:00<00:01, 172.96it/s]
Loading weights:  13%|█▎        | 38/290 [00:00<00:01, 130.74it/s]
Loading weights:  18%|█▊        | 52/290 [00:00<00:02, 113.62it/s]
Loading weights:  22%|██▏       | 64/290 [00:00<00:02, 111.66it/s]
Loading weights:  26%|██▌       | 76/290 [00:00<00:01, 108.97it/s]
Loading weights:  30%|███       | 87/290 [00:00<00:01, 106.75it/s]
Loading weights:  34%|███▍      | 98/290 [00:00<00:01, 100.03it/s]
Loading weights:  38%|███▊      | 109/290 [00:01<00:01, 99.82it/s]
Loading weights:  41%|████▏     | 120/290 [00:01<00:01, 99.12it/s]
Loading weights:  47%|████▋     | 136/290 [00:01<00:01, 112.89it/s]
Loading weights: 100%|██████████| 290/290 [00:01<00:00, 224.74it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.5715 (avg 2.5715) | Batch 3.92s | Elapsed 4s | ETA 36h 11m 48s | Samples/s 4
[Epoch 1/3] Step 2/29259 | Loss 2.5444 (avg 2.5580) | Batch 0.14s | Elapsed 4s | ETA 18h 39m 8s | Samples/s 118
[Epoch 1/3] Step 3/29259 | Loss 2.4246 (avg 2.5135) | Batch 0.12s | Elapsed 4s | ETA 12h 46m 23s | Samples/s 128
[Epoch 1/3] Step 4/29259 | Loss 2.2119 (avg 2.4381) | Batch 0.13s | Elapsed 4s | ETA 9h 50m 10s | Samples/s 127
[Epoch 1/3] Step 5/29259 | Loss 2.3207 (avg 2.4146) | Batch 0.13s | Elapsed 4s | ETA 8h 4m 25s | Samples/s 127
[Epoch 1/3] Step 6/29259 | Loss 1.9995 (avg 2.3454) | Batch 0.13s | Elapsed 5s | ETA 6h 53m 57s | Samples/s 127
[Epoch 1/3] Step 7/29259 | Loss 2.3359 (avg 2.3441) | Batch 0.13s | Elapsed 5s | ETA 6h 3m 37s | Samples/s 127
[Epoch 1/3] Step 8/29259 | Loss 2.1420 (avg 2.3188) | Batch 0.12s | Elapsed 5s | ETA 5h 25m 41s | Samples/s 130
[Epoch 1/3] Step 9/29259 | Loss 2.4551 (avg 2.3339) | Batch 0.12s | Elapsed 5s | ETA 4h 56m 7s | Samples/s 131
[Epoch 1/3] Step 10/29259 | Loss 2.1398 (avg 2.3145) | Batch 0.12s | Elapsed 5s | ETA 4h 32m 32s | Samples/s 130
[Epoch 1/3] Step 11/29259 | Loss 2.1254 (avg 2.2973) | Batch 0.12s | Elapsed 5s | ETA 4h 13m 14s | Samples/s 130
[Epoch 1/3] Step 12/29259 | Loss 2.1793 (avg 2.2875) | Batch 0.12s | Elapsed 5s | ETA 3h 57m 5s | Samples/s 131
[Epoch 1/3] Step 13/29259 | Loss 2.2102 (avg 2.2816) | Batch 0.13s | Elapsed 5s | ETA 3h 43m 34s | Samples/s 127
[Epoch 1/3] Step 14/29259 | Loss 2.1871 (avg 2.2748) | Batch 0.13s | Elapsed 6s | ETA 3h 32m 0s | Samples/s 127
[Epoch 1/3] Step 15/29259 | Loss 2.1044 (avg 2.2634) | Batch 0.13s | Elapsed 6s | ETA 3h 21m 59s | Samples/s 126
[Epoch 1/3] Step 16/29259 | Loss 2.0591 (avg 2.2507) | Batch 0.12s | Elapsed 6s | ETA 3h 13m 8s | Samples/s 129
[Epoch 1/3] Step 17/29259 | Loss 1.9994 (avg 2.2359) | Batch 0.12s | Elapsed 6s | ETA 3h 5m 17s | Samples/s 131
[Epoch 1/3] Step 18/29259 | Loss 1.9936 (avg 2.2224) | Batch 0.13s | Elapsed 6s | ETA 2h 58m 24s | Samples/s 127
[Epoch 1/3] Step 19/29259 | Loss 2.1705 (avg 2.2197) | Batch 0.12s | Elapsed 6s | ETA 2h 52m 11s | Samples/s 130
[Epoch 1/3] Step 20/29259 | Loss 2.1242 (avg 2.2149) | Batch 0.12s | Elapsed 6s | ETA 2h 46m 34s | Samples/s 130
[Epoch 1/3] Step 21/29259 | Loss 1.8975 (avg 2.1998) | Batch 0.12s | Elapsed 6s | ETA 2h 41m 29s | Samples/s 130
[Epoch 1/3] Step 22/29259 | Loss 2.4479 (avg 2.2111) | Batch 0.12s | Elapsed 7s | ETA 2h 36m 53s | Samples/s 130
[Epoch 1/3] Step 23/29259 | Loss 1.7027 (avg 2.1890) | Batch 0.13s | Elapsed 7s | ETA 2h 32m 45s | Samples/s 126
[Epoch 1/3] Step 24/29259 | Loss 1.8999 (avg 2.1769) | Batch 0.12s | Elapsed 7s | ETA 2h 28m 55s | Samples/s 129
[Epoch 1/3] Step 25/29259 | Loss 2.0388 (avg 2.1714) | Batch 0.12s | Elapsed 7s | ETA 2h 25m 20s | Samples/s 131
[Epoch 1/3] Step 26/29259 | Loss 1.7232 (avg 2.1542) | Batch 0.13s | Elapsed 7s | ETA 2h 22m 6s | Samples/s 127
[Epoch 1/3] Step 27/29259 | Loss 1.8909 (avg 2.1444) | Batch 0.12s | Elapsed 7s | ETA 2h 19m 4s | Samples/s 130
[Epoch 1/3] Step 28/29259 | Loss 2.0166 (avg 2.1399) | Batch 0.12s | Elapsed 7s | ETA 2h 16m 14s | Samples/s 131
[Epoch 1/3] Step 29/29259 | Loss 1.8190 (avg 2.1288) | Batch 0.12s | Elapsed 7s | ETA 2h 13m 38s | Samples/s 128
[Epoch 1/3] Step 30/29259 | Loss 1.9316 (avg 2.1222) | Batch 0.13s | Elapsed 8s | ETA 2h 11m 13s | Samples/s 127
[Epoch 1/3] Step 31/29259 | Loss 2.0371 (avg 2.1195) | Batch 0.13s | Elapsed 8s | ETA 2h 8m 58s | Samples/s 127
[Epoch 1/3] Step 32/29259 | Loss 1.8764 (avg 2.1119) | Batch 0.12s | Elapsed 8s | ETA 2h 6m 50s | Samples/s 128
[Epoch 1/3] Step 33/29259 | Loss 1.9682 (avg 2.1075) | Batch 0.13s | Elapsed 8s | ETA 2h 4m 51s | Samples/s 127
[Epoch 1/3] Step 34/29259 | Loss 2.0634 (avg 2.1062) | Batch 0.12s | Elapsed 8s | ETA 2h 2m 56s | Samples/s 130
[Epoch 1/3] Step 35/29259 | Loss 1.9484 (avg 2.1017) | Batch 0.12s | Elapsed 8s | ETA 2h 1m 7s | Samples/s 131
[Epoch 1/3] Step 36/29259 | Loss 1.8476 (avg 2.0947) | Batch 0.13s | Elapsed 8s | ETA 1h 59m 30s | Samples/s 125
[Epoch 1/3] Step 37/29259 | Loss 1.8806 (avg 2.0889) | Batch 0.12s | Elapsed 8s | ETA 1h 57m 53s | Samples/s 130
[Epoch 1/3] Step 38/29259 | Loss 1.9513 (avg 2.0852) | Batch 0.12s | Elapsed 9s | ETA 1h 56m 22s | Samples/s 129
[Epoch 1/3] Step 39/29259 | Loss 1.8658 (avg 2.0796) | Batch 0.13s | Elapsed 9s | ETA 1h 54m 57s | Samples/s 127
[Epoch 1/3] Step 40/29259 | Loss 2.0500 (avg 2.0789) | Batch 0.12s | Elapsed 9s | ETA 1h 53m 35s | Samples/s 130
[Epoch 1/3] Step 41/29259 | Loss 2.2695 (avg 2.0835) | Batch 0.13s | Elapsed 9s | ETA 1h 52m 18s | Samples/s 127
[Epoch 1/3] Step 42/29259 | Loss 1.6513 (avg 2.0732) | Batch 0.12s | Elapsed 9s | ETA 1h 51m 4s | Samples/s 130
[Epoch 1/3] Step 43/29259 | Loss 1.7015 (avg 2.0646) | Batch 0.12s | Elapsed 9s | ETA 1h 49m 53s | Samples/s 129
[Epoch 1/3] Step 44/29259 | Loss 1.8098 (avg 2.0588) | Batch 0.12s | Elapsed 9s | ETA 1h 48m 45s | Samples/s 130
[Epoch 1/3] Step 45/29259 | Loss 2.4375 (avg 2.0672) | Batch 0.12s | Elapsed 9s | ETA 1h 47m 39s | Samples/s 130
[Epoch 1/3] Step 46/29259 | Loss 2.0199 (avg 2.0662) | Batch 0.12s | Elapsed 10s | ETA 1h 46m 38s | Samples/s 130
[Epoch 1/3] Step 47/29259 | Loss 1.8095 (avg 2.0607) | Batch 0.12s | Elapsed 10s | ETA 1h 45m 38s | Samples/s 129
[Epoch 1/3] Step 48/29259 | Loss 1.9956 (avg 2.0594) | Batch 0.12s | Elapsed 10s | ETA 1h 44m 41s | Samples/s 130
[Epoch 1/3] Step 49/29259 | Loss 1.8798 (avg 2.0557) | Batch 0.12s | Elapsed 10s | ETA 1h 43m 46s | Samples/s 130
[Epoch 1/3] Step 50/29259 | Loss 1.6694 (avg 2.0480) | Batch 0.12s | Elapsed 10s | ETA 1h 42m 53s | Samples/s 131
[Epoch 1/3] Step 51/29259 | Loss 1.9927 (avg 2.0469) | Batch 0.12s | Elapsed 10s | ETA 1h 42m 2s | Samples/s 130
[Epoch 1/3] Step 52/29259 | Loss 1.9422 (avg 2.0449) | Batch 0.13s | Elapsed 10s | ETA 1h 41m 15s | Samples/s 127
[Epoch 1/3] Step 53/29259 | Loss 1.8762 (avg 2.0417) | Batch 0.12s | Elapsed 10s | ETA 1h 40m 28s | Samples/s 130
[Epoch 1/3] Step 54/29259 | Loss 1.6748 (avg 2.0349) | Batch 0.12s | Elapsed 11s | ETA 1h 39m 43s | Samples/s 130
[Epoch 1/3] Step 55/29259 | Loss 1.8994 (avg 2.0324) | Batch 0.13s | Elapsed 11s | ETA 1h 39m 1s | Samples/s 127
[Epoch 1/3] Step 56/29259 | Loss 2.0208 (avg 2.0322) | Batch 0.13s | Elapsed 11s | ETA 1h 38m 21s | Samples/s 127
[Epoch 1/3] Step 57/29259 | Loss 1.8714 (avg 2.0294) | Batch 0.12s | Elapsed 11s | ETA 1h 37m 41s | Samples/s 130
[Epoch 1/3] Step 58/29259 | Loss 1.9362 (avg 2.0278) | Batch 0.12s | Elapsed 11s | ETA 1h 37m 2s | Samples/s 129
[Epoch 1/3] Step 59/29259 | Loss 2.0145 (avg 2.0276) | Batch 0.12s | Elapsed 11s | ETA 1h 36m 24s | Samples/s 129
[Epoch 1/3] Step 60/29259 | Loss 1.7814 (avg 2.0235) | Batch 0.12s | Elapsed 11s | ETA 1h 35m 48s | Samples/s 129
[Epoch 1/3] Step 61/29259 | Loss 2.0897 (avg 2.0246) | Batch 0.12s | Elapsed 11s | ETA 1h 35m 13s | Samples/s 129
[Epoch 1/3] Step 62/29259 | Loss 1.9944 (avg 2.0241) | Batch 0.12s | Elapsed 12s | ETA 1h 34m 38s | Samples/s 131
[Epoch 1/3] Step 63/29259 | Loss 1.9189 (avg 2.0224) | Batch 0.13s | Elapsed 12s | ETA 1h 34m 7s | Samples/s 127
[Epoch 1/3] Step 64/29259 | Loss 1.9944 (avg 2.0220) | Batch 0.12s | Elapsed 12s | ETA 1h 33m 35s | Samples/s 128
[Epoch 1/3] Step 65/29259 | Loss 1.9636 (avg 2.0211) | Batch 0.13s | Elapsed 12s | ETA 1h 33m 5s | Samples/s 127
