/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 53572.95it/s]
[transformers] [1mCLIPVisionModel LOAD REPORT[0m from: openai/clip-vit-base-patch32
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...11}.mlp.fc2.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.weight        | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
text_projection.weight                                       | UNEXPECTED |  | 
visual_projection.weight                                     | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8784.77it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.4323 (avg 2.4323) | Elapsed 2s | ETA 16h 35m 2s | Samples/s 8
[Epoch 1/3] Step 2/29259 | Loss 2.3175 (avg 2.3749) | Elapsed 2s | ETA 9h 19m 12s | Samples/s 14
[Epoch 1/3] Step 3/29259 | Loss 2.1766 (avg 2.3088) | Elapsed 2s | ETA 6h 54m 6s | Samples/s 19
[Epoch 1/3] Step 4/29259 | Loss 2.0188 (avg 2.2363) | Elapsed 2s | ETA 5h 41m 46s | Samples/s 23
[Epoch 1/3] Step 5/29259 | Loss 1.9850 (avg 2.1860) | Elapsed 3s | ETA 4h 58m 13s | Samples/s 26
[Epoch 1/3] Step 6/29259 | Loss 1.7622 (avg 2.1154) | Elapsed 3s | ETA 4h 28m 53s | Samples/s 29
[Epoch 1/3] Step 7/29259 | Loss 2.0026 (avg 2.0993) | Elapsed 3s | ETA 4h 8m 18s | Samples/s 31
[Epoch 1/3] Step 8/29259 | Loss 1.8931 (avg 2.0735) | Elapsed 3s | ETA 3h 52m 59s | Samples/s 33
[Epoch 1/3] Step 9/29259 | Loss 2.0541 (avg 2.0713) | Elapsed 4s | ETA 3h 40m 42s | Samples/s 35
[Epoch 1/3] Step 10/29259 | Loss 1.9273 (avg 2.0569) | Elapsed 4s | ETA 3h 31m 51s | Samples/s 37
[Epoch 1/3] Step 11/29259 | Loss 1.9455 (avg 2.0468) | Elapsed 4s | ETA 3h 24m 0s | Samples/s 38
[Epoch 1/3] Step 12/29259 | Loss 1.9111 (avg 2.0355) | Elapsed 4s | ETA 3h 17m 28s | Samples/s 39
[Epoch 1/3] Step 13/29259 | Loss 2.0584 (avg 2.0373) | Elapsed 5s | ETA 3h 11m 52s | Samples/s 41
[Epoch 1/3] Step 14/29259 | Loss 2.0300 (avg 2.0367) | Elapsed 5s | ETA 3h 7m 4s | Samples/s 42
[Epoch 1/3] Step 15/29259 | Loss 1.9909 (avg 2.0337) | Elapsed 5s | ETA 3h 2m 54s | Samples/s 43
[Epoch 1/3] Step 16/29259 | Loss 1.9813 (avg 2.0304) | Elapsed 5s | ETA 2h 59m 18s | Samples/s 43
[Epoch 1/3] Step 17/29259 | Loss 1.9250 (avg 2.0242) | Elapsed 6s | ETA 2h 56m 8s | Samples/s 44
[Epoch 1/3] Step 18/29259 | Loss 1.9144 (avg 2.0181) | Elapsed 6s | ETA 2h 53m 17s | Samples/s 45
[Epoch 1/3] Step 19/29259 | Loss 1.8824 (avg 2.0110) | Elapsed 6s | ETA 2h 50m 39s | Samples/s 46
[Epoch 1/3] Step 20/29259 | Loss 2.0650 (avg 2.0137) | Elapsed 6s | ETA 2h 48m 16s | Samples/s 46
[Epoch 1/3] Step 21/29259 | Loss 1.8275 (avg 2.0048) | Elapsed 7s | ETA 2h 46m 15s | Samples/s 47
[Epoch 1/3] Step 22/29259 | Loss 2.0655 (avg 2.0076) | Elapsed 7s | ETA 2h 44m 25s | Samples/s 47
[Epoch 1/3] Step 23/29259 | Loss 1.6450 (avg 1.9918) | Elapsed 7s | ETA 2h 42m 39s | Samples/s 48
[Epoch 1/3] Step 24/29259 | Loss 1.7473 (avg 1.9816) | Elapsed 7s | ETA 2h 40m 56s | Samples/s 48
[Epoch 1/3] Step 25/29259 | Loss 1.9045 (avg 1.9785) | Elapsed 8s | ETA 2h 39m 29s | Samples/s 49
[Epoch 1/3] Step 26/29259 | Loss 1.6638 (avg 1.9664) | Elapsed 8s | ETA 2h 38m 6s | Samples/s 49
[Epoch 1/3] Step 27/29259 | Loss 1.8156 (avg 1.9608) | Elapsed 8s | ETA 2h 36m 49s | Samples/s 50
[Epoch 1/3] Step 28/29259 | Loss 1.9502 (avg 1.9605) | Elapsed 8s | ETA 2h 35m 54s | Samples/s 50
[Epoch 1/3] Step 29/29259 | Loss 1.7580 (avg 1.9535) | Elapsed 9s | ETA 2h 34m 51s | Samples/s 50
[Epoch 1/3] Step 30/29259 | Loss 1.8370 (avg 1.9496) | Elapsed 9s | ETA 2h 33m 47s | Samples/s 51
[Epoch 1/3] Step 31/29259 | Loss 1.9479 (avg 1.9495) | Elapsed 9s | ETA 2h 32m 51s | Samples/s 51
[Epoch 1/3] Step 32/29259 | Loss 1.8260 (avg 1.9457) | Elapsed 9s | ETA 2h 31m 59s | Samples/s 51
[Epoch 1/3] Step 33/29259 | Loss 1.9202 (avg 1.9449) | Elapsed 10s | ETA 2h 31m 11s | Samples/s 52
[Epoch 1/3] Step 34/29259 | Loss 1.9966 (avg 1.9464) | Elapsed 10s | ETA 2h 30m 27s | Samples/s 52
[Epoch 1/3] Step 35/29259 | Loss 1.9546 (avg 1.9467) | Elapsed 10s | ETA 2h 29m 44s | Samples/s 52
[Epoch 1/3] Step 36/29259 | Loss 1.7582 (avg 1.9414) | Elapsed 11s | ETA 2h 28m 59s | Samples/s 52
[Epoch 1/3] Step 37/29259 | Loss 1.8423 (avg 1.9387) | Elapsed 11s | ETA 2h 28m 17s | Samples/s 53
[Epoch 1/3] Step 38/29259 | Loss 1.8552 (avg 1.9365) | Elapsed 11s | ETA 2h 27m 42s | Samples/s 53
[Epoch 1/3] Step 39/29259 | Loss 1.7951 (avg 1.9329) | Elapsed 11s | ETA 2h 27m 11s | Samples/s 53
[Epoch 1/3] Step 40/29259 | Loss 2.0334 (avg 1.9354) | Elapsed 12s | ETA 2h 26m 36s | Samples/s 53
[Epoch 1/3] Step 41/29259 | Loss 2.2293 (avg 1.9426) | Elapsed 12s | ETA 2h 26m 4s | Samples/s 53
[Epoch 1/3] Step 42/29259 | Loss 1.6561 (avg 1.9358) | Elapsed 12s | ETA 2h 25m 34s | Samples/s 54
[Epoch 1/3] Step 43/29259 | Loss 1.6534 (avg 1.9292) | Elapsed 12s | ETA 2h 25m 2s | Samples/s 54
[Epoch 1/3] Step 44/29259 | Loss 1.8064 (avg 1.9264) | Elapsed 13s | ETA 2h 24m 35s | Samples/s 54
[Epoch 1/3] Step 45/29259 | Loss 1.9894 (avg 1.9278) | Elapsed 13s | ETA 2h 24m 9s | Samples/s 54
[Epoch 1/3] Step 46/29259 | Loss 2.0255 (avg 1.9299) | Elapsed 13s | ETA 2h 23m 45s | Samples/s 54
[Epoch 1/3] Step 47/29259 | Loss 1.7724 (avg 1.9266) | Elapsed 13s | ETA 2h 23m 20s | Samples/s 54
[Epoch 1/3] Step 48/29259 | Loss 1.9551 (avg 1.9272) | Elapsed 14s | ETA 2h 23m 0s | Samples/s 54
[Epoch 1/3] Step 49/29259 | Loss 1.8498 (avg 1.9256) | Elapsed 14s | ETA 2h 22m 38s | Samples/s 55
[Epoch 1/3] Step 50/29259 | Loss 1.5833 (avg 1.9188) | Elapsed 14s | ETA 2h 22m 22s | Samples/s 55
[Epoch 1/3] Step 51/29259 | Loss 1.9614 (avg 1.9196) | Elapsed 14s | ETA 2h 22m 1s | Samples/s 55
[Epoch 1/3] Step 52/29259 | Loss 1.9160 (avg 1.9195) | Elapsed 15s | ETA 2h 21m 43s | Samples/s 55
[Epoch 1/3] Step 53/29259 | Loss 1.8628 (avg 1.9185) | Elapsed 15s | ETA 2h 21m 25s | Samples/s 55
[Epoch 1/3] Step 54/29259 | Loss 1.6665 (avg 1.9138) | Elapsed 15s | ETA 2h 21m 7s | Samples/s 55
[Epoch 1/3] Step 55/29259 | Loss 1.8907 (avg 1.9134) | Elapsed 15s | ETA 2h 20m 49s | Samples/s 55
[Epoch 1/3] Step 56/29259 | Loss 1.9665 (avg 1.9143) | Elapsed 16s | ETA 2h 20m 30s | Samples/s 55
[Epoch 1/3] Step 57/29259 | Loss 1.7592 (avg 1.9116) | Elapsed 16s | ETA 2h 20m 14s | Samples/s 56
[Epoch 1/3] Step 58/29259 | Loss 1.9009 (avg 1.9114) | Elapsed 16s | ETA 2h 19m 57s | Samples/s 56
[Epoch 1/3] Step 59/29259 | Loss 1.9633 (avg 1.9123) | Elapsed 16s | ETA 2h 19m 43s | Samples/s 56
[Epoch 1/3] Step 60/29259 | Loss 1.7738 (avg 1.9100) | Elapsed 17s | ETA 2h 19m 29s | Samples/s 56
[Epoch 1/3] Step 61/29259 | Loss 2.1383 (avg 1.9137) | Elapsed 17s | ETA 2h 19m 11s | Samples/s 56
[Epoch 1/3] Step 62/29259 | Loss 1.9773 (avg 1.9147) | Elapsed 17s | ETA 2h 18m 57s | Samples/s 56
[Epoch 1/3] Step 63/29259 | Loss 1.8804 (avg 1.9142) | Elapsed 17s | ETA 2h 18m 44s | Samples/s 56
[Epoch 1/3] Step 64/29259 | Loss 1.9355 (avg 1.9145) | Elapsed 18s | ETA 2h 18m 32s | Samples/s 56
[Epoch 1/3] Step 65/29259 | Loss 1.9533 (avg 1.9151) | Elapsed 18s | ETA 2h 18m 20s | Samples/s 56
[Epoch 1/3] Step 66/29259 | Loss 2.0799 (avg 1.9176) | Elapsed 18s | ETA 2h 18m 8s | Samples/s 56
[Epoch 1/3] Step 67/29259 | Loss 1.8602 (avg 1.9168) | Elapsed 18s | ETA 2h 17m 57s | Samples/s 56
[Epoch 1/3] Step 68/29259 | Loss 1.9668 (avg 1.9175) | Elapsed 19s | ETA 2h 17m 46s | Samples/s 57
[Epoch 1/3] Step 69/29259 | Loss 1.8367 (avg 1.9163) | Elapsed 19s | ETA 2h 17m 36s | Samples/s 57
[Epoch 1/3] Step 70/29259 | Loss 2.0431 (avg 1.9181) | Elapsed 19s | ETA 2h 17m 25s | Samples/s 57
[Epoch 1/3] Step 71/29259 | Loss 1.7013 (avg 1.9151) | Elapsed 20s | ETA 2h 17m 15s | Samples/s 57
[Epoch 1/3] Step 72/29259 | Loss 1.8349 (avg 1.9140) | Elapsed 20s | ETA 2h 17m 4s | Samples/s 57
[Epoch 1/3] Step 73/29259 | Loss 1.8955 (avg 1.9137) | Elapsed 20s | ETA 2h 16m 53s | Samples/s 57
[Epoch 1/3] Step 74/29259 | Loss 1.7274 (avg 1.9112) | Elapsed 20s | ETA 2h 16m 45s | Samples/s 57
[Epoch 1/3] Step 75/29259 | Loss 1.6311 (avg 1.9075) | Elapsed 21s | ETA 2h 16m 36s | Samples/s 57
[Epoch 1/3] Step 76/29259 | Loss 1.7977 (avg 1.9060) | Elapsed 21s | ETA 2h 16m 28s | Samples/s 57
[Epoch 1/3] Step 77/29259 | Loss 1.8384 (avg 1.9052) | Elapsed 21s | ETA 2h 16m 20s | Samples/s 57
[Epoch 1/3] Step 78/29259 | Loss 1.9008 (avg 1.9051) | Elapsed 21s | ETA 2h 16m 11s | Samples/s 57
[Epoch 1/3] Step 79/29259 | Loss 1.8250 (avg 1.9041) | Elapsed 22s | ETA 2h 16m 3s | Samples/s 57
[Epoch 1/3] Step 80/29259 | Loss 1.8584 (avg 1.9035) | Elapsed 22s | ETA 2h 15m 56s | Samples/s 57
[Epoch 1/3] Step 81/29259 | Loss 1.9283 (avg 1.9038) | Elapsed 22s | ETA 2h 15m 48s | Samples/s 57
[Epoch 1/3] Step 82/29259 | Loss 1.8764 (avg 1.9035) | Elapsed 22s | ETA 2h 15m 41s | Samples/s 57
[Epoch 1/3] Step 83/29259 | Loss 1.9094 (avg 1.9036) | Elapsed 23s | ETA 2h 15m 33s | Samples/s 57
[Epoch 1/3] Step 84/29259 | Loss 1.9193 (avg 1.9037) | Elapsed 23s | ETA 2h 15m 33s | Samples/s 57
[Epoch 1/3] Step 85/29259 | Loss 1.9648 (avg 1.9045) | Elapsed 23s | ETA 2h 15m 25s | Samples/s 57
[Epoch 1/3] Step 86/29259 | Loss 1.9316 (avg 1.9048) | Elapsed 23s | ETA 2h 15m 18s | Samples/s 57
[Epoch 1/3] Step 87/29259 | Loss 1.8788 (avg 1.9045) | Elapsed 24s | ETA 2h 15m 10s | Samples/s 58
[Epoch 1/3] Step 88/29259 | Loss 1.7499 (avg 1.9027) | Elapsed 24s | ETA 2h 15m 3s | Samples/s 58
[Epoch 1/3] Step 89/29259 | Loss 1.8458 (avg 1.9021) | Elapsed 24s | ETA 2h 14m 55s | Samples/s 58
[Epoch 1/3] Step 90/29259 | Loss 1.9983 (avg 1.9031) | Elapsed 24s | ETA 2h 14m 50s | Samples/s 58
[Epoch 1/3] Step 91/29259 | Loss 1.8604 (avg 1.9027) | Elapsed 25s | ETA 2h 14m 43s | Samples/s 58
[Epoch 1/3] Step 92/29259 | Loss 1.9154 (avg 1.9028) | Elapsed 25s | ETA 2h 14m 38s | Samples/s 58
[Epoch 1/3] Step 93/29259 | Loss 1.8629 (avg 1.9024) | Elapsed 25s | ETA 2h 14m 34s | Samples/s 58
[Epoch 1/3] Step 94/29259 | Loss 1.5067 (avg 1.8982) | Elapsed 26s | ETA 2h 14m 27s | Samples/s 58
[Epoch 1/3] Step 95/29259 | Loss 1.8639 (avg 1.8978) | Elapsed 26s | ETA 2h 14m 21s | Samples/s 58
[Epoch 1/3] Step 96/29259 | Loss 1.7673 (avg 1.8965) | Elapsed 26s | ETA 2h 14m 16s | Samples/s 58
[Epoch 1/3] Step 97/29259 | Loss 1.8297 (avg 1.8958) | Elapsed 26s | ETA 2h 14m 11s | Samples/s 58
[Epoch 1/3] Step 98/29259 | Loss 1.9221 (avg 1.8960) | Elapsed 27s | ETA 2h 14m 6s | Samples/s 58
[Epoch 1/3] Step 99/29259 | Loss 1.8309 (avg 1.8954) | Elapsed 27s | ETA 2h 14m 1s | Samples/s 58
[Epoch 1/3] Step 100/29259 | Loss 2.0669 (avg 1.8971) | Elapsed 27s | ETA 2h 13m 56s | Samples/s 58
[Epoch 1/3] Step 101/29259 | Loss 1.8875 (avg 1.8970) | Elapsed 27s | ETA 2h 13m 51s | Samples/s 58
[Epoch 1/3] Step 102/29259 | Loss 1.8102 (avg 1.8962) | Elapsed 28s | ETA 2h 13m 46s | Samples/s 58
[Epoch 1/3] Step 103/29259 | Loss 1.8941 (avg 1.8961) | Elapsed 28s | ETA 2h 13m 42s | Samples/s 58
[Epoch 1/3] Step 104/29259 | Loss 1.8967 (avg 1.8961) | Elapsed 28s | ETA 2h 13m 37s | Samples/s 58
[Epoch 1/3] Step 105/29259 | Loss 1.8854 (avg 1.8960) | Elapsed 28s | ETA 2h 13m 32s | Samples/s 58
[Epoch 1/3] Step 106/29259 | Loss 1.8118 (avg 1.8952) | Elapsed 29s | ETA 2h 13m 27s | Samples/s 58
[Epoch 1/3] Step 107/29259 | Loss 1.6894 (avg 1.8933) | Elapsed 29s | ETA 2h 13m 22s | Samples/s 58
[Epoch 1/3] Step 108/29259 | Loss 1.8713 (avg 1.8931) | Elapsed 29s | ETA 2h 13m 17s | Samples/s 58
[Epoch 1/3] Step 109/29259 | Loss 1.8402 (avg 1.8926) | Elapsed 29s | ETA 2h 13m 13s | Samples/s 58
[Epoch 1/3] Step 110/29259 | Loss 1.8358 (avg 1.8921) | Elapsed 30s | ETA 2h 13m 9s | Samples/s 58
[Epoch 1/3] Step 111/29259 | Loss 1.6330 (avg 1.8898) | Elapsed 30s | ETA 2h 13m 4s | Samples/s 58
[Epoch 1/3] Step 112/29259 | Loss 1.7566 (avg 1.8886) | Elapsed 30s | ETA 2h 12m 59s | Samples/s 58
[Epoch 1/3] Step 113/29259 | Loss 1.9373 (avg 1.8890) | Elapsed 30s | ETA 2h 12m 55s | Samples/s 58
[Epoch 1/3] Step 114/29259 | Loss 1.8278 (avg 1.8885) | Elapsed 31s | ETA 2h 12m 52s | Samples/s 58
[Epoch 1/3] Step 115/29259 | Loss 1.8295 (avg 1.8880) | Elapsed 31s | ETA 2h 12m 47s | Samples/s 59
[Epoch 1/3] Step 116/29259 | Loss 1.8200 (avg 1.8874) | Elapsed 31s | ETA 2h 12m 44s | Samples/s 59
[Epoch 1/3] Step 117/29259 | Loss 1.7560 (avg 1.8863) | Elapsed 31s | ETA 2h 12m 39s | Samples/s 59
[Epoch 1/3] Step 118/29259 | Loss 1.9675 (avg 1.8869) | Elapsed 32s | ETA 2h 12m 36s | Samples/s 59
[Epoch 1/3] Step 119/29259 | Loss 1.7607 (avg 1.8859) | Elapsed 32s | ETA 2h 12m 33s | Samples/s 59
[Epoch 1/3] Step 120/29259 | Loss 1.9024 (avg 1.8860) | Elapsed 32s | ETA 2h 12m 30s | Samples/s 59
[Epoch 1/3] Step 121/29259 | Loss 1.8029 (avg 1.8853) | Elapsed 33s | ETA 2h 12m 26s | Samples/s 59
[Epoch 1/3] Step 122/29259 | Loss 1.8525 (avg 1.8851) | Elapsed 33s | ETA 2h 12m 23s | Samples/s 59
[Epoch 1/3] Step 123/29259 | Loss 1.8657 (avg 1.8849) | Elapsed 33s | ETA 2h 12m 20s | Samples/s 59
[Epoch 1/3] Step 124/29259 | Loss 1.8147 (avg 1.8843) | Elapsed 33s | ETA 2h 12m 17s | Samples/s 59
[Epoch 1/3] Step 125/29259 | Loss 1.8622 (avg 1.8842) | Elapsed 34s | ETA 2h 12m 14s | Samples/s 59
[Epoch 1/3] Step 126/29259 | Loss 1.8096 (avg 1.8836) | Elapsed 34s | ETA 2h 12m 10s | Samples/s 59
[Epoch 1/3] Step 127/29259 | Loss 1.8127 (avg 1.8830) | Elapsed 34s | ETA 2h 12m 7s | Samples/s 59
[Epoch 1/3] Step 128/29259 | Loss 1.7096 (avg 1.8817) | Elapsed 34s | ETA 2h 12m 5s | Samples/s 59
[Epoch 1/3] Step 129/29259 | Loss 2.0080 (avg 1.8826) | Elapsed 35s | ETA 2h 12m 1s | Samples/s 59
[Epoch 1/3] Step 130/29259 | Loss 1.9130 (avg 1.8829) | Elapsed 35s | ETA 2h 11m 58s | Samples/s 59
