[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50509.32it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9920.06it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/5] Step 1/29259 | Loss 2.4446 (avg 2.4446) | Elapsed 1s | ETA 15h 55m 49s | Samples/s 8
[Epoch 1/5] Step 2/29259 | Loss 2.4040 (avg 2.4243) | Elapsed 2s | ETA 10h 12m 46s | Samples/s 13
[Epoch 1/5] Step 3/29259 | Loss 2.2143 (avg 2.3543) | Elapsed 3s | ETA 8h 19m 47s | Samples/s 16
[Epoch 1/5] Step 4/29259 | Loss 1.9297 (avg 2.2482) | Elapsed 3s | ETA 7h 23m 45s | Samples/s 18
[Epoch 1/5] Step 5/29259 | Loss 2.0004 (avg 2.1986) | Elapsed 4s | ETA 6h 49m 40s | Samples/s 19
[Epoch 1/5] Step 6/29259 | Loss 1.7842 (avg 2.1295) | Elapsed 4s | ETA 6h 26m 57s | Samples/s 20
[Epoch 1/5] Step 7/29259 | Loss 1.9112 (avg 2.0983) | Elapsed 5s | ETA 6h 10m 32s | Samples/s 21
[Epoch 1/5] Step 8/29259 | Loss 1.8867 (avg 2.0719) | Elapsed 5s | ETA 5h 58m 36s | Samples/s 22
[Epoch 1/5] Step 9/29259 | Loss 2.0347 (avg 2.0678) | Elapsed 6s | ETA 5h 49m 6s | Samples/s 22
[Epoch 1/5] Step 10/29259 | Loss 1.9162 (avg 2.0526) | Elapsed 7s | ETA 5h 41m 43s | Samples/s 23
[Epoch 1/5] Step 11/29259 | Loss 1.9091 (avg 2.0396) | Elapsed 7s | ETA 5h 35m 38s | Samples/s 23
[Epoch 1/5] Step 12/29259 | Loss 1.8622 (avg 2.0248) | Elapsed 8s | ETA 5h 30m 27s | Samples/s 24
[Epoch 1/5] Step 13/29259 | Loss 2.0428 (avg 2.0262) | Elapsed 8s | ETA 5h 26m 10s | Samples/s 24
[Epoch 1/5] Step 14/29259 | Loss 2.0048 (avg 2.0246) | Elapsed 9s | ETA 5h 22m 28s | Samples/s 24
[Epoch 1/5] Step 15/29259 | Loss 1.9495 (avg 2.0196) | Elapsed 9s | ETA 5h 19m 20s | Samples/s 24
[Epoch 1/5] Step 16/29259 | Loss 1.9192 (avg 2.0133) | Elapsed 10s | ETA 5h 16m 35s | Samples/s 25
[Epoch 1/5] Step 17/29259 | Loss 1.8706 (avg 2.0050) | Elapsed 10s | ETA 5h 14m 12s | Samples/s 25
[Epoch 1/5] Step 18/29259 | Loss 1.8736 (avg 1.9977) | Elapsed 11s | ETA 5h 11m 59s | Samples/s 25
[Epoch 1/5] Step 19/29259 | Loss 1.8600 (avg 1.9904) | Elapsed 12s | ETA 5h 10m 0s | Samples/s 25
[Epoch 1/5] Step 20/29259 | Loss 2.0543 (avg 1.9936) | Elapsed 12s | ETA 5h 8m 12s | Samples/s 25
[Epoch 1/5] Step 21/29259 | Loss 1.7860 (avg 1.9837) | Elapsed 13s | ETA 5h 6m 30s | Samples/s 25
[Epoch 1/5] Step 22/29259 | Loss 2.0516 (avg 1.9868) | Elapsed 13s | ETA 5h 5m 7s | Samples/s 26
[Epoch 1/5] Step 23/29259 | Loss 1.6845 (avg 1.9737) | Elapsed 14s | ETA 5h 3m 54s | Samples/s 26
[Epoch 1/5] Step 24/29259 | Loss 1.6906 (avg 1.9619) | Elapsed 14s | ETA 5h 2m 33s | Samples/s 26
[Epoch 1/5] Step 25/29259 | Loss 1.8712 (avg 1.9582) | Elapsed 15s | ETA 5h 1m 25s | Samples/s 26
[Epoch 1/5] Step 26/29259 | Loss 1.6389 (avg 1.9460) | Elapsed 16s | ETA 5h 0m 29s | Samples/s 26
[Epoch 1/5] Step 27/29259 | Loss 1.7835 (avg 1.9399) | Elapsed 16s | ETA 4h 59m 34s | Samples/s 26
[Epoch 1/5] Step 28/29259 | Loss 1.9272 (avg 1.9395) | Elapsed 17s | ETA 4h 58m 41s | Samples/s 26
[Epoch 1/5] Step 29/29259 | Loss 1.7214 (avg 1.9320) | Elapsed 17s | ETA 4h 57m 54s | Samples/s 26
[Epoch 1/5] Step 30/29259 | Loss 1.8120 (avg 1.9280) | Elapsed 18s | ETA 4h 57m 12s | Samples/s 26
[Epoch 1/5] Step 31/29259 | Loss 1.9347 (avg 1.9282) | Elapsed 18s | ETA 4h 56m 33s | Samples/s 26
[Epoch 1/5] Step 32/29259 | Loss 1.7941 (avg 1.9240) | Elapsed 19s | ETA 4h 55m 55s | Samples/s 26
[Epoch 1/5] Step 33/29259 | Loss 1.8786 (avg 1.9226) | Elapsed 20s | ETA 4h 55m 18s | Samples/s 26
[Epoch 1/5] Step 34/29259 | Loss 1.9752 (avg 1.9242) | Elapsed 20s | ETA 4h 54m 47s | Samples/s 26
[Epoch 1/5] Step 35/29259 | Loss 1.8437 (avg 1.9219) | Elapsed 21s | ETA 4h 54m 11s | Samples/s 26
[Epoch 1/5] Step 36/29259 | Loss 1.6854 (avg 1.9153) | Elapsed 21s | ETA 4h 53m 41s | Samples/s 27
[Epoch 1/5] Step 37/29259 | Loss 1.8140 (avg 1.9126) | Elapsed 22s | ETA 4h 53m 14s | Samples/s 27
[Epoch 1/5] Step 38/29259 | Loss 1.7916 (avg 1.9094) | Elapsed 22s | ETA 4h 52m 47s | Samples/s 27
[Epoch 1/5] Step 39/29259 | Loss 1.7820 (avg 1.9061) | Elapsed 23s | ETA 4h 52m 27s | Samples/s 27
[Epoch 1/5] Step 40/29259 | Loss 2.0121 (avg 1.9088) | Elapsed 23s | ETA 4h 52m 3s | Samples/s 27
[Epoch 1/5] Step 41/29259 | Loss 2.1498 (avg 1.9146) | Elapsed 24s | ETA 4h 51m 42s | Samples/s 27
[Epoch 1/5] Step 42/29259 | Loss 1.5817 (avg 1.9067) | Elapsed 25s | ETA 4h 51m 16s | Samples/s 27
[Epoch 1/5] Step 43/29259 | Loss 1.5743 (avg 1.8990) | Elapsed 25s | ETA 4h 50m 50s | Samples/s 27
[Epoch 1/5] Step 44/29259 | Loss 1.7785 (avg 1.8962) | Elapsed 26s | ETA 4h 50m 30s | Samples/s 27
[Epoch 1/5] Step 45/29259 | Loss 1.9069 (avg 1.8965) | Elapsed 26s | ETA 4h 50m 13s | Samples/s 27
[Epoch 1/5] Step 46/29259 | Loss 2.0282 (avg 1.8993) | Elapsed 27s | ETA 4h 49m 56s | Samples/s 27
[Epoch 1/5] Step 47/29259 | Loss 1.7431 (avg 1.8960) | Elapsed 27s | ETA 4h 49m 39s | Samples/s 27
[Epoch 1/5] Step 48/29259 | Loss 1.9124 (avg 1.8964) | Elapsed 28s | ETA 4h 49m 24s | Samples/s 27
[Epoch 1/5] Step 49/29259 | Loss 1.8189 (avg 1.8948) | Elapsed 29s | ETA 4h 49m 9s | Samples/s 27
[Epoch 1/5] Step 50/29259 | Loss 1.5299 (avg 1.8875) | Elapsed 29s | ETA 4h 48m 56s | Samples/s 27
[Epoch 1/5] Step 51/29259 | Loss 1.8991 (avg 1.8877) | Elapsed 30s | ETA 4h 48m 42s | Samples/s 27
