/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50405.61it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9038.44it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.4446 (avg 2.4446) | Elapsed 2s | ETA 19h 18m 56s | Samples/s 7
[Epoch 1/3] Step 2/29259 | Loss 2.4040 (avg 2.4243) | Elapsed 2s | ETA 11h 57m 46s | Samples/s 11
[Epoch 1/3] Step 3/29259 | Loss 2.2143 (avg 2.3543) | Elapsed 3s | ETA 9h 30m 7s | Samples/s 14
[Epoch 1/3] Step 4/29259 | Loss 1.9297 (avg 2.2482) | Elapsed 4s | ETA 8h 16m 12s | Samples/s 16
[Epoch 1/3] Step 5/29259 | Loss 2.0004 (avg 2.1986) | Elapsed 4s | ETA 7h 32m 0s | Samples/s 17
[Epoch 1/3] Step 6/29259 | Loss 1.7842 (avg 2.1295) | Elapsed 5s | ETA 7h 2m 43s | Samples/s 18
[Epoch 1/3] Step 7/29259 | Loss 1.9112 (avg 2.0983) | Elapsed 5s | ETA 6h 41m 37s | Samples/s 19
[Epoch 1/3] Step 8/29259 | Loss 1.8857 (avg 2.0718) | Elapsed 6s | ETA 6h 25m 49s | Samples/s 20
[Epoch 1/3] Step 9/29259 | Loss 2.0382 (avg 2.0680) | Elapsed 6s | ETA 6h 13m 27s | Samples/s 21
[Epoch 1/3] Step 10/29259 | Loss 1.9195 (avg 2.0532) | Elapsed 7s | ETA 6h 3m 54s | Samples/s 21
[Epoch 1/3] Step 11/29259 | Loss 1.9089 (avg 2.0401) | Elapsed 8s | ETA 5h 55m 56s | Samples/s 22
[Epoch 1/3] Step 12/29259 | Loss 1.8632 (avg 2.0253) | Elapsed 8s | ETA 5h 49m 12s | Samples/s 22
[Epoch 1/3] Step 13/29259 | Loss 2.0425 (avg 2.0267) | Elapsed 9s | ETA 5h 43m 37s | Samples/s 23
[Epoch 1/3] Step 14/29259 | Loss 2.0058 (avg 2.0252) | Elapsed 9s | ETA 5h 38m 45s | Samples/s 23
[Epoch 1/3] Step 15/29259 | Loss 1.9509 (avg 2.0202) | Elapsed 10s | ETA 5h 34m 41s | Samples/s 23
[Epoch 1/3] Step 16/29259 | Loss 1.9209 (avg 2.0140) | Elapsed 10s | ETA 5h 31m 9s | Samples/s 24
[Epoch 1/3] Step 17/29259 | Loss 1.8718 (avg 2.0056) | Elapsed 11s | ETA 5h 28m 2s | Samples/s 24
[Epoch 1/3] Step 18/29259 | Loss 1.8732 (avg 1.9983) | Elapsed 12s | ETA 5h 25m 5s | Samples/s 24
[Epoch 1/3] Step 19/29259 | Loss 1.8595 (avg 1.9910) | Elapsed 12s | ETA 5h 22m 28s | Samples/s 24
[Epoch 1/3] Step 20/29259 | Loss 2.0547 (avg 1.9942) | Elapsed 13s | ETA 5h 20m 11s | Samples/s 24
[Epoch 1/3] Step 21/29259 | Loss 1.7860 (avg 1.9843) | Elapsed 13s | ETA 5h 18m 5s | Samples/s 25
[Epoch 1/3] Step 22/29259 | Loss 2.0522 (avg 1.9873) | Elapsed 14s | ETA 5h 16m 10s | Samples/s 25
[Epoch 1/3] Step 23/29259 | Loss 1.6872 (avg 1.9743) | Elapsed 14s | ETA 5h 14m 30s | Samples/s 25
[Epoch 1/3] Step 24/29259 | Loss 1.6969 (avg 1.9627) | Elapsed 15s | ETA 5h 12m 51s | Samples/s 25
[Epoch 1/3] Step 25/29259 | Loss 1.8723 (avg 1.9591) | Elapsed 15s | ETA 5h 11m 28s | Samples/s 25
[Epoch 1/3] Step 26/29259 | Loss 1.6406 (avg 1.9469) | Elapsed 16s | ETA 5h 10m 6s | Samples/s 25
[Epoch 1/3] Step 27/29259 | Loss 1.7820 (avg 1.9408) | Elapsed 17s | ETA 5h 8m 57s | Samples/s 25
[Epoch 1/3] Step 28/29259 | Loss 1.9281 (avg 1.9403) | Elapsed 17s | ETA 5h 7m 51s | Samples/s 25
[Epoch 1/3] Step 29/29259 | Loss 1.7205 (avg 1.9327) | Elapsed 18s | ETA 5h 6m 50s | Samples/s 25
[Epoch 1/3] Step 30/29259 | Loss 1.8112 (avg 1.9287) | Elapsed 18s | ETA 5h 5m 54s | Samples/s 25
[Epoch 1/3] Step 31/29259 | Loss 1.9351 (avg 1.9289) | Elapsed 19s | ETA 5h 5m 1s | Samples/s 26
[Epoch 1/3] Step 32/29259 | Loss 1.7940 (avg 1.9247) | Elapsed 19s | ETA 5h 4m 11s | Samples/s 26
[Epoch 1/3] Step 33/29259 | Loss 1.8800 (avg 1.9233) | Elapsed 20s | ETA 5h 3m 24s | Samples/s 26
[Epoch 1/3] Step 34/29259 | Loss 1.9765 (avg 1.9249) | Elapsed 21s | ETA 5h 2m 39s | Samples/s 26
[Epoch 1/3] Step 35/29259 | Loss 1.8434 (avg 1.9226) | Elapsed 21s | ETA 5h 1m 58s | Samples/s 26
[Epoch 1/3] Step 36/29259 | Loss 1.6841 (avg 1.9159) | Elapsed 22s | ETA 5h 1m 18s | Samples/s 26
[Epoch 1/3] Step 37/29259 | Loss 1.8146 (avg 1.9132) | Elapsed 22s | ETA 5h 0m 42s | Samples/s 26
[Epoch 1/3] Step 38/29259 | Loss 1.7926 (avg 1.9100) | Elapsed 23s | ETA 5h 0m 7s | Samples/s 26
[Epoch 1/3] Step 39/29259 | Loss 1.7817 (avg 1.9067) | Elapsed 23s | ETA 4h 59m 35s | Samples/s 26
[Epoch 1/3] Step 40/29259 | Loss 2.0115 (avg 1.9094) | Elapsed 24s | ETA 4h 58m 55s | Samples/s 26
[Epoch 1/3] Step 41/29259 | Loss 2.1467 (avg 1.9151) | Elapsed 25s | ETA 4h 58m 13s | Samples/s 26
[Epoch 1/3] Step 42/29259 | Loss 1.5800 (avg 1.9072) | Elapsed 25s | ETA 4h 57m 38s | Samples/s 26
[Epoch 1/3] Step 43/29259 | Loss 1.5734 (avg 1.8994) | Elapsed 26s | ETA 4h 57m 5s | Samples/s 26
[Epoch 1/3] Step 44/29259 | Loss 1.7780 (avg 1.8966) | Elapsed 26s | ETA 4h 56m 35s | Samples/s 26
[Epoch 1/3] Step 45/29259 | Loss 1.9057 (avg 1.8968) | Elapsed 27s | ETA 4h 56m 11s | Samples/s 26
[Epoch 1/3] Step 46/29259 | Loss 2.0249 (avg 1.8996) | Elapsed 27s | ETA 4h 55m 50s | Samples/s 26
[Epoch 1/3] Step 47/29259 | Loss 1.7444 (avg 1.8963) | Elapsed 28s | ETA 4h 55m 25s | Samples/s 26
[Epoch 1/3] Step 48/29259 | Loss 1.9114 (avg 1.8966) | Elapsed 29s | ETA 4h 55m 2s | Samples/s 26
[Epoch 1/3] Step 49/29259 | Loss 1.8221 (avg 1.8951) | Elapsed 29s | ETA 4h 54m 43s | Samples/s 26
[Epoch 1/3] Step 50/29259 | Loss 1.5301 (avg 1.8878) | Elapsed 30s | ETA 4h 54m 24s | Samples/s 26
[Epoch 1/3] Step 51/29259 | Loss 1.8984 (avg 1.8880) | Elapsed 30s | ETA 4h 54m 6s | Samples/s 26
[Epoch 1/3] Step 52/29259 | Loss 1.8853 (avg 1.8880) | Elapsed 31s | ETA 4h 53m 50s | Samples/s 27
[Epoch 1/3] Step 53/29259 | Loss 1.8109 (avg 1.8865) | Elapsed 31s | ETA 4h 53m 35s | Samples/s 27
[Epoch 1/3] Step 54/29259 | Loss 1.6658 (avg 1.8824) | Elapsed 32s | ETA 4h 53m 20s | Samples/s 27
[Epoch 1/3] Step 55/29259 | Loss 1.8315 (avg 1.8815) | Elapsed 33s | ETA 4h 53m 6s | Samples/s 27
[Epoch 1/3] Step 56/29259 | Loss 1.9368 (avg 1.8825) | Elapsed 33s | ETA 4h 52m 52s | Samples/s 27
[Epoch 1/3] Step 57/29259 | Loss 1.7463 (avg 1.8801) | Elapsed 34s | ETA 4h 52m 38s | Samples/s 27
