[AUTO-DETECT] H100 checkpoint: ../checkpoints/stage2_h100/step15754 (step=15754)
[MODEL] Loading SigLIP2 ...

Loading weights:   0%|          | 0/448 [00:00<?, ?it/s]
Loading weights:  61%|██████▏   | 275/448 [00:00<00:00, 2553.27it/s]
Loading weights: 100%|██████████| 448/448 [00:00<00:00, 2216.51it/s]
[transformers] [1mSiglipVisionModel LOAD REPORT[0m from: ../models/siglip2-so400m-patch16-256
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...26}.mlp.fc2.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.head.weight                                       | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.weight   | UNEXPECTED |  | 
logit_bias                                                   | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
text_model.head.bias                                         | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[MODEL] SigLIP2 frozen.
[MODEL] Loading tokenizer ...
[MODEL] Registered '<image>' as special token.
[MODEL] <image> token id = 151665
[MODEL] Loading decoder from ../checkpoints/stage2_h100/step15754 ...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 434/434 [00:00<00:00, 11404.49it/s]
[MODEL] Decoder loaded, gradient checkpointing ON.
[MODEL] Projector loaded from ../checkpoints/stage2_h100/step15754/projector.bin
[MODEL] Trainable params: 3092.8M
[RESUME] step=15754 | phase=visualweb | phase_samples=0 | total=367296
[RESUME] Optimizer + scheduler state restored.
[TRAIN] total_steps=26578 | warmup=797 | resume_phase=visualweb
[DATA] Loading VisualWebInstruct ...
[PHASE:visualweb] Skipping 0 batches (samples_seen_phase=0)

[PHASE:visualweb] Starting | batches=47728 | global_step=15754 | phase_samples_seen=0
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.

[H100][visualweb] Step 15754/26578 | Loss 0.3620 (avg 0.3620) | LR 6.37e-07 | Batch 1.74s | Elapsed 2s | ETA 34h 51m 24s | Next save in 27m 15s | Samples/s 3
[H100][visualweb] Step 15754/26578 | Loss 0.4409 (avg 0.4015) | LR 6.37e-07 | Batch 0.90s | Elapsed 3s | ETA 23h 23m 23s | Next save in 27m 14s | Samples/s 5
[H100][visualweb] Step 15754/26578 | Loss 0.9428 (avg 0.5819) | LR 6.37e-07 | Batch 0.46s | Elapsed 3s | ETA 17h 37m 3s | Next save in 27m 13s | Samples/s 6
[H100][visualweb] Step 15755/26578 | Loss 0.3825 (avg 0.5321) | LR 1.05e-05 | Batch 0.87s | Elapsed 4s | ETA 16h 6m 28s | Next save in 27m 13s | Samples/s 7
[H100][visualweb] Step 15755/26578 | Loss 0.6025 (avg 0.5462) | LR 1.05e-05 | Batch 0.83s | Elapsed 5s | ETA 15h 5m 52s | Next save in 27m 12s | Samples/s 7
[H100][visualweb] Step 15755/26578 | Loss 0.5036 (avg 0.5391) | LR 1.05e-05 | Batch 1.04s | Elapsed 6s | ETA 14h 52m 36s | Next save in 27m 11s | Samples/s 7
[H100][visualweb] Step 15755/26578 | Loss 1.0261 (avg 0.6086) | LR 1.05e-05 | Batch 0.48s | Elapsed 7s | ETA 13h 39m 45s | Next save in 27m 10s | Samples/s 8
[H100][visualweb] Step 15756/26578 | Loss 0.4934 (avg 0.5942) | LR 1.05e-05 | Batch 0.81s | Elapsed 8s | ETA 13h 17m 43s | Next save in 27m 9s | Samples/s 8
[H100][visualweb] Step 15756/26578 | Loss 0.6671 (avg 0.6023) | LR 1.05e-05 | Batch 0.58s | Elapsed 8s | ETA 12h 40m 35s | Next save in 27m 9s | Samples/s 8
[H100][visualweb] Step 15756/26578 | Loss 0.9951 (avg 0.6416) | LR 1.05e-05 | Batch 0.29s | Elapsed 8s | ETA 11h 47m 59s | Next save in 27m 8s | Samples/s 9
[H100][visualweb] Step 15756/26578 | Loss 0.5385 (avg 0.6322) | LR 1.05e-05 | Batch 0.72s | Elapsed 9s | ETA 11h 35m 34s | Next save in 27m 8s | Samples/s 9
[H100][visualweb] Step 15757/26578 | Loss 0.5760 (avg 0.6276) | LR 1.05e-05 | Batch 1.09s | Elapsed 10s | ETA 11h 49m 43s | Next save in 27m 7s | Samples/s 9
[H100][visualweb] Step 15757/26578 | Loss 0.6309 (avg 0.6278) | LR 1.05e-05 | Batch 0.75s | Elapsed 11s | ETA 11h 41m 13s | Next save in 27m 6s | Samples/s 9
[H100][visualweb] Step 15757/26578 | Loss 0.4979 (avg 0.6185) | LR 1.05e-05 | Batch 0.80s | Elapsed 12s | ETA 11h 36m 24s | Next save in 27m 5s | Samples/s 9
[H100][visualweb] Step 15757/26578 | Loss 0.8001 (avg 0.6306) | LR 1.05e-05 | Batch 0.49s | Elapsed 12s | ETA 11h 16m 7s | Next save in 27m 5s | Samples/s 9
[H100][visualweb] Step 15758/26578 | Loss 0.7465 (avg 0.6379) | LR 1.05e-05 | Batch 1.12s | Elapsed 13s | ETA 11h 29m 43s | Next save in 27m 3s | Samples/s 9
[H100][visualweb] Step 15758/26578 | Loss 0.7833 (avg 0.6464) | LR 1.05e-05 | Batch 0.73s | Elapsed 14s | ETA 11h 23m 13s | Next save in 27m 3s | Samples/s 9
[H100][visualweb] Step 15758/26578 | Loss 0.7284 (avg 0.6510) | LR 1.05e-05 | Batch 0.88s | Elapsed 15s | ETA 11h 24m 13s | Next save in 27m 2s | Samples/s 9
[H100][visualweb] Step 15758/26578 | Loss 0.4110 (avg 0.6384) | LR 1.05e-05 | Batch 0.77s | Elapsed 16s | ETA 11h 20m 26s | Next save in 27m 1s | Samples/s 9/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/PIL/Image.py:1034: UserWarning: Palette images with Transparency expressed in bytes should be converted to RGBA images
  warnings.warn(

[H100][visualweb] Step 15759/26578 | Loss 1.1011 (avg 0.6615) | LR 1.05e-05 | Batch 0.67s | Elapsed 16s | ETA 11h 12m 52s | Next save in 27m 0s | Samples/s 9/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/PIL/Image.py:1034: UserWarning: Palette images with Transparency expressed in bytes should be converted to RGBA images
  warnings.warn(

[H100][visualweb] Step 15759/26578 | Loss 1.0052 (avg 0.6779) | LR 1.05e-05 | Batch 0.87s | Elapsed 17s | ETA 11h 13m 38s | Next save in 27m 0s | Samples/s 9
[H100][visualweb] Step 15759/26578 | Loss 0.5010 (avg 0.6698) | LR 1.05e-05 | Batch 1.07s | Elapsed 18s | ETA 11h 21m 48s | Next save in 26m 59s | Samples/s 9
[H100][visualweb] Step 15759/26578 | Loss 1.5109 (avg 0.7064) | LR 1.05e-05 | Batch 0.29s | Elapsed 19s | ETA 11h 2m 10s | Next save in 26m 58s | Samples/s 10
[H100][visualweb] Step 15760/26578 | Loss 0.5349 (avg 0.6992) | LR 1.05e-05 | Batch 0.87s | Elapsed 20s | ETA 11h 3m 34s | Next save in 26m 57s | Samples/s 10
[H100][visualweb] Step 15760/26578 | Loss 0.6593 (avg 0.6976) | LR 1.05e-05 | Batch 0.64s | Elapsed 20s | ETA 10h 57m 20s | Next save in 26m 57s | Samples/s 10
[H100][visualweb] Step 15760/26578 | Loss 0.5080 (avg 0.6904) | LR 1.05e-05 | Batch 0.73s | Elapsed 21s | ETA 10h 54m 21s | Next save in 26m 56s | Samples/s 10
[H100][visualweb] Step 15760/26578 | Loss 0.5124 (avg 0.6838) | LR 1.05e-05 | Batch 0.66s | Elapsed 22s | ETA 10h 49m 31s | Next save in 26m 55s | Samples/s 10
[H100][visualweb] Step 15761/26578 | Loss 0.4236 (avg 0.6745) | LR 1.05e-05 | Batch 1.57s | Elapsed 23s | ETA 11h 10m 56s | Next save in 26m 54s | Samples/s 9
[H100][visualweb] Step 15761/26578 | Loss 0.7112 (avg 0.6757) | LR 1.05e-05 | Batch 0.70s | Elapsed 24s | ETA 11h 7m 7s | Next save in 26m 53s | Samples/s 10
[H100][visualweb] Step 15761/26578 | Loss 0.6059 (avg 0.6734) | LR 1.05e-05 | Batch 0.94s | Elapsed 25s | ETA 11h 9m 51s | Next save in 26m 52s | Samples/s 9
[H100][visualweb] Step 15761/26578 | Loss 0.3752 (avg 0.6638) | LR 1.05e-05 | Batch 0.92s | Elapsed 26s | ETA 11h 11m 51s | Next save in 26m 51s | Samples/s 9
[H100][visualweb] Step 15762/26578 | Loss 0.7411 (avg 0.6662) | LR 1.05e-05 | Batch 0.63s | Elapsed 26s | ETA 11h 6m 36s | Next save in 26m 51s | Samples/s 10
[H100][visualweb] Step 15762/26578 | Loss 0.6814 (avg 0.6667) | LR 1.05e-05 | Batch 1.36s | Elapsed 28s | ETA 11h 19m 12s | Next save in 26m 49s | Samples/s 9
[H100][visualweb] Step 15762/26578 | Loss 0.7107 (avg 0.6680) | LR 1.05e-05 | Batch 0.67s | Elapsed 28s | ETA 11h 14m 53s | Next save in 26m 49s | Samples/s 9
[H100][visualweb] Step 15762/26578 | Loss 0.6262 (avg 0.6668) | LR 1.05e-05 | Batch 1.25s | Elapsed 30s | ETA 11h 24m 1s | Next save in 26m 47s | Samples/s 9
[H100][visualweb] Step 15763/26578 | Loss 0.7564 (avg 0.6693) | LR 1.05e-05 | Batch 1.83s | Elapsed 31s | ETA 11h 45m 29s | Next save in 26m 45s | Samples/s 9
[H100][visualweb] Step 15763/26578 | Loss 0.8623 (avg 0.6745) | LR 1.05e-05 | Batch 0.50s | Elapsed 32s | ETA 11h 37m 7s | Next save in 26m 45s | Samples/s 9
[H100][visualweb] Step 15763/26578 | Loss 0.6844 (avg 0.6747) | LR 1.05e-05 | Batch 0.64s | Elapsed 33s | ETA 11h 32m 12s | Next save in 26m 44s | Samples/s 9
[H100][visualweb] Step 15763/26578 | Loss 0.5116 (avg 0.6706) | LR 1.05e-05 | Batch 0.80s | Elapsed 33s | ETA 11h 30m 50s | Next save in 26m 43s | Samples/s 9
[H100][visualweb] Step 15764/26578 | Loss 0.4679 (avg 0.6655) | LR 1.05e-05 | Batch 0.75s | Elapsed 34s | ETA 11h 28m 24s | Next save in 26m 43s | Samples/s 9
[H100][visualweb] Step 15764/26578 | Loss 0.5294 (avg 0.6622) | LR 1.05e-05 | Batch 0.86s | Elapsed 35s | ETA 11h 28m 17s | Next save in 26m 42s | Samples/s 9
[H100][visualweb] Step 15764/26578 | Loss 0.7154 (avg 0.6634) | LR 1.05e-05 | Batch 1.13s | Elapsed 36s | ETA 11h 33m 14s | Next save in 26m 41s | Samples/s 9
[H100][visualweb] Step 15764/26578 | Loss 0.7485 (avg 0.6654) | LR 1.05e-05 | Batch 0.77s | Elapsed 37s | ETA 11h 31m 16s | Next save in 26m 40s | Samples/s 9
[H100][visualweb] Step 15765/26578 | Loss 0.5281 (avg 0.6623) | LR 1.05e-05 | Batch 1.08s | Elapsed 38s | ETA 11h 35m 4s | Next save in 26m 39s | Samples/s 9
[H100][visualweb] Step 15765/26578 | Loss 0.6323 (avg 0.6616) | LR 1.05e-05 | Batch 0.85s | Elapsed 39s | ETA 11h 34m 42s | Next save in 26m 38s | Samples/s 9
[H100][visualweb] Step 15765/26578 | Loss 0.7156 (avg 0.6628) | LR 1.05e-05 | Batch 0.28s | Elapsed 39s | ETA 11h 24m 29s | Next save in 26m 38s | Samples/s 9
[H100][visualweb] Step 15765/26578 | Loss 0.6499 (avg 0.6625) | LR 1.05e-05 | Batch 0.61s | Elapsed 40s | ETA 11h 20m 12s | Next save in 26m 37s | Samples/s 9
[H100][visualweb] Step 15766/26578 | Loss 0.3524 (avg 0.6561) | LR 1.05e-05 | Batch 0.91s | Elapsed 41s | ETA 11h 21m 3s | Next save in 26m 36s | Samples/s 9
[H100][visualweb] Step 15766/26578 | Loss 0.5206 (avg 0.6533) | LR 1.05e-05 | Batch 0.66s | Elapsed 41s | ETA 11h 17m 53s | Next save in 26m 36s | Samples/s 9
[H100][visualweb] Step 15766/26578 | Loss 1.2888 (avg 0.6660) | LR 1.05e-05 | Batch 1.13s | Elapsed 42s | ETA 11h 22m 21s | Next save in 26m 34s | Samples/s 9
[H100][visualweb] Step 15766/26578 | Loss 0.6372 (avg 0.6654) | LR 1.05e-05 | Batch 0.87s | Elapsed 43s | ETA 11h 22m 33s | Next save in 26m 34s | Samples/s 9
[H100][visualweb] Step 15767/26578 | Loss 0.8285 (avg 0.6686) | LR 1.05e-05 | Batch 1.08s | Elapsed 44s | ETA 11h 25m 59s | Next save in 26m 32s | Samples/s 9
[H100][visualweb] Step 15767/26578 | Loss 0.5121 (avg 0.6656) | LR 1.05e-05 | Batch 0.77s | Elapsed 45s | ETA 11h 24m 36s | Next save in 26m 32s | Samples/s 9
[H100][visualweb] Step 15767/26578 | Loss 0.4063 (avg 0.6608) | LR 1.05e-05 | Batch 0.79s | Elapsed 46s | ETA 11h 23m 35s | Next save in 26m 31s | Samples/s 9
[H100][visualweb] Step 15767/26578 | Loss 0.4724 (avg 0.6574) | LR 1.05e-05 | Batch 0.87s | Elapsed 47s | ETA 11h 23m 42s | Next save in 26m 30s | Samples/s 9
[H100][visualweb] Step 15768/26578 | Loss 0.7619 (avg 0.6593) | LR 1.05e-05 | Batch 1.56s | Elapsed 48s | ETA 11h 33m 37s | Next save in 26m 28s | Samples/s 9
[H100][visualweb] Step 15768/26578 | Loss 0.5752 (avg 0.6578) | LR 1.05e-05 | Batch 0.59s | Elapsed 49s | ETA 11h 29m 40s | Next save in 26m 28s | Samples/s 9
[H100][visualweb] Step 15768/26578 | Loss 0.5441 (avg 0.6558) | LR 1.05e-05 | Batch 0.89s | Elapsed 50s | ETA 11h 29m 54s | Next save in 26m 27s | Samples/s 9
[H100][visualweb] Step 15768/26578 | Loss 0.6887 (avg 0.6564) | LR 1.05e-05 | Batch 1.13s | Elapsed 51s | ETA 11h 33m 25s | Next save in 26m 26s | Samples/s 9
[H100][visualweb] Step 15769/26578 | Loss 1.0893 (avg 0.6636) | LR 1.05e-05 | Batch 0.60s | Elapsed 52s | ETA 11h 29m 49s | Next save in 26m 25s | Samples/s 9
[H100][visualweb] Step 15769/26578 | Loss 0.9135 (avg 0.6677) | LR 1.05e-05 | Batch 0.57s | Elapsed 52s | ETA 11h 25m 53s | Next save in 26m 25s | Samples/s 9
[H100][visualweb] Step 15769/26578 | Loss 0.8533 (avg 0.6707) | LR 1.05e-05 | Batch 0.58s | Elapsed 53s | ETA 11h 22m 16s | Next save in 26m 24s | Samples/s 9
[H100][visualweb] Step 15769/26578 | Loss 0.6062 (avg 0.6697) | LR 1.05e-05 | Batch 0.69s | Elapsed 53s | ETA 11h 20m 10s | Next save in 26m 23s | Samples/s 9
[H100][visualweb] Step 15770/26578 | Loss 0.5286 (avg 0.6675) | LR 1.05e-05 | Batch 0.80s | Elapsed 54s | ETA 11h 19m 27s | Next save in 26m 23s | Samples/s 9
[H100][visualweb] Step 15770/26578 | Loss 0.7031 (avg 0.6680) | LR 1.05e-05 | Batch 0.49s | Elapsed 55s | ETA 11h 15m 1s | Next save in 26m 22s | Samples/s 9
[H100][visualweb] Step 15770/26578 | Loss 1.1139 (avg 0.6748) | LR 1.05e-05 | Batch 0.46s | Elapsed 55s | ETA 11h 10m 20s | Next save in 26m 22s | Samples/s 9
[H100][visualweb] Step 15770/26578 | Loss 0.6838 (avg 0.6749) | LR 1.05e-05 | Batch 0.91s | Elapsed 56s | ETA 11h 11m 9s | Next save in 26m 21s | Samples/s 9
[H100][visualweb] Step 15771/26578 | Loss 0.8827 (avg 0.6780) | LR 1.05e-05 | Batch 0.56s | Elapsed 57s | ETA 11h 7m 46s | Next save in 26m 20s | Samples/s 10
[H100][visualweb] Step 15771/26578 | Loss 0.5583 (avg 0.6762) | LR 1.05e-05 | Batch 0.64s | Elapsed 57s | ETA 11h 5m 24s | Next save in 26m 20s | Samples/s 10
[H100][visualweb] Step 15771/26578 | Loss 0.5777 (avg 0.6748) | LR 1.05e-05 | Batch 1.35s | Elapsed 59s | ETA 11h 11m 12s | Next save in 26m 18s | Samples/s 9
[H100][visualweb] Step 15771/26578 | Loss 0.8657 (avg 0.6775) | LR 1.05e-05 | Batch 0.66s | Elapsed 59s | ETA 11h 9m 10s | Next save in 26m 18s | Samples/s 9
[H100][visualweb] Step 15772/26578 | Loss 0.4038 (avg 0.6737) | LR 1.05e-05 | Batch 0.68s | Elapsed 1m 0s | ETA 11h 7m 19s | Next save in 26m 17s | Samples/s 10
[H100][visualweb] Step 15772/26578 | Loss 0.8506 (avg 0.6761) | LR 1.05e-05 | Batch 0.42s | Elapsed 1m 0s | ETA 11h 2m 45s | Next save in 26m 16s | Samples/s 10
[H100][visualweb] Step 15772/26578 | Loss 0.6276 (avg 0.6755) | LR 1.05e-05 | Batch 0.81s | Elapsed 1m 1s | ETA 11h 2m 29s | Next save in 26m 16s | Samples/s 10
[H100][visualweb] Step 15772/26578 | Loss 0.6918 (avg 0.6757) | LR 1.05e-05 | Batch 1.48s | Elapsed 1m 3s | ETA 11h 9m 21s | Next save in 26m 14s | Samples/s 9
[H100][visualweb] Step 15773/26578 | Loss 0.9507 (avg 0.6793) | LR 1.05e-05 | Batch 0.75s | Elapsed 1m 3s | ETA 11h 8m 25s | Next save in 26m 13s | Samples/s 10
[H100][visualweb] Step 15773/26578 | Loss 0.8812 (avg 0.6819) | LR 1.05e-05 | Batch 0.52s | Elapsed 1m 4s | ETA 11h 5m 4s | Next save in 26m 13s | Samples/s 10
[H100][visualweb] Step 15773/26578 | Loss 0.9363 (avg 0.6852) | LR 1.05e-05 | Batch 1.07s | Elapsed 1m 5s | ETA 11h 7m 24s | Next save in 26m 12s | Samples/s 10
[H100][visualweb] Step 15773/26578 | Loss 0.5619 (avg 0.6836) | LR 1.05e-05 | Batch 0.85s | Elapsed 1m 6s | ETA 11h 7m 29s | Next save in 26m 11s | Samples/s 10
[H100][visualweb] Step 15774/26578 | Loss 0.6008 (avg 0.6826) | LR 1.05e-05 | Batch 0.89s | Elapsed 1m 7s | ETA 11h 7m 59s | Next save in 26m 10s | Samples/s 10
[H100][visualweb] Step 15774/26578 | Loss 0.7114 (avg 0.6829) | LR 1.05e-05 | Batch 1.01s | Elapsed 1m 8s | ETA 11h 9m 37s | Next save in 26m 9s | Samples/s 9
[H100][visualweb] Step 15774/26578 | Loss 0.6200 (avg 0.6822) | LR 1.05e-05 | Batch 1.35s | Elapsed 1m 9s | ETA 11h 14m 34s | Next save in 26m 8s | Samples/s 9
[H100][visualweb] Step 15774/26578 | Loss 0.6115 (avg 0.6813) | LR 1.05e-05 | Batch 1.05s | Elapsed 1m 10s | ETA 11h 16m 26s | Next save in 26m 7s | Samples/s 9
[H100][visualweb] Step 15775/26578 | Loss 0.5736 (avg 0.6800) | LR 1.05e-05 | Batch 0.95s | Elapsed 1m 11s | ETA 11h 17m 19s | Next save in 26m 6s | Samples/s 9
[H100][visualweb] Step 15775/26578 | Loss 0.8812 (avg 0.6824) | LR 1.05e-05 | Batch 1.12s | Elapsed 1m 12s | ETA 11h 19m 50s | Next save in 26m 5s | Samples/s 9
[H100][visualweb] Step 15775/26578 | Loss 0.7227 (avg 0.6829) | LR 1.05e-05 | Batch 0.99s | Elapsed 1m 13s | ETA 11h 21m 5s | Next save in 26m 4s | Samples/s 9
[H100][visualweb] Step 15775/26578 | Loss 0.4035 (avg 0.6797) | LR 1.05e-05 | Batch 0.77s | Elapsed 1m 14s | ETA 11h 20m 17s | Next save in 26m 3s | Samples/s 9
[H100][visualweb] Step 15776/26578 | Loss 0.5833 (avg 0.6786) | LR 1.05e-05 | Batch 0.64s | Elapsed 1m 15s | ETA 11h 18m 21s | Next save in 26m 2s | Samples/s 9
[H100][visualweb] Step 15776/26578 | Loss 0.6439 (avg 0.6782) | LR 1.05e-05 | Batch 1.07s | Elapsed 1m 16s | ETA 11h 20m 17s | Next save in 26m 1s | Samples/s 9
[H100][visualweb] Step 15776/26578 | Loss 0.9410 (avg 0.6811) | LR 1.05e-05 | Batch 1.29s | Elapsed 1m 17s | ETA 11h 24m 4s | Next save in 26m 0s | Samples/s 9
[H100][visualweb] Step 15776/26578 | Loss 1.0851 (avg 0.6855) | LR 1.05e-05 | Batch 0.53s | Elapsed 1m 18s | ETA 11h 21m 8s | Next save in 25m 59s | Samples/s 9
[H100][visualweb] Step 15777/26578 | Loss 0.4461 (avg 0.6829) | LR 1.05e-05 | Batch 0.74s | Elapsed 1m 18s | ETA 11h 20m 5s | Next save in 25m 59s | Samples/s 9
[H100][visualweb] Step 15777/26578 | Loss 0.9532 (avg 0.6858) | LR 1.05e-05 | Batch 0.52s | Elapsed 1m 19s | ETA 11h 17m 10s | Next save in 25m 58s | Samples/s 9
[H100][visualweb] Step 15777/26578 | Loss 0.5789 (avg 0.6847) | LR 1.05e-05 | Batch 0.79s | Elapsed 1m 20s | ETA 11h 16m 39s | Next save in 25m 57s | Samples/s 9
[H100][visualweb] Step 15777/26578 | Loss 0.3275 (avg 0.6810) | LR 1.05e-05 | Batch 0.78s | Elapsed 1m 20s | ETA 11h 16m 2s | Next save in 25m 56s | Samples/s 9
[H100][visualweb] Step 15778/26578 | Loss 0.9979 (avg 0.6843) | LR 1.05e-05 | Batch 0.68s | Elapsed 1m 21s | ETA 11h 14m 34s | Next save in 25m 56s | Samples/s 9
[H100][visualweb] Step 15778/26578 | Loss 0.9008 (avg 0.6865) | LR 1.05e-05 | Batch 0.49s | Elapsed 1m 22s | ETA 11h 11m 39s | Next save in 25m 55s | Samples/s 9
[H100][visualweb] Step 15778/26578 | Loss 0.8604 (avg 0.6883) | LR 1.05e-05 | Batch 0.51s | Elapsed 1m 22s | ETA 11h 8m 54s | Next save in 25m 55s | Samples/s 9
[H100][visualweb] Step 15778/26578 | Loss 0.5716 (avg 0.6871) | LR 1.05e-05 | Batch 0.87s | Elapsed 1m 23s | ETA 11h 9m 6s | Next save in 25m 54s | Samples/s 9
[H100][visualweb] Step 15779/26578 | Loss 0.5260 (avg 0.6855) | LR 1.05e-05 | Batch 0.95s | Elapsed 1m 24s | ETA 11h 9m 55s | Next save in 25m 53s | Samples/s 9
[H100][visualweb] Step 15779/26578 | Loss 0.5468 (avg 0.6841) | LR 1.05e-05 | Batch 0.75s | Elapsed 1m 25s | ETA 11h 9m 8s | Next save in 25m 52s | Samples/s 9
[H100][visualweb] Step 15779/26578 | Loss 0.4530 (avg 0.6818) | LR 1.05e-05 | Batch 1.01s | Elapsed 1m 26s | ETA 11h 10m 24s | Next save in 25m 51s | Samples/s 9
[H100][visualweb] Step 15779/26578 | Loss 0.8716 (avg 0.6837) | LR 1.05e-05 | Batch 1.49s | Elapsed 1m 27s | ETA 11h 15m 22s | Next save in 25m 50s | Samples/s 9
[H100][visualweb] Step 15780/26578 | Loss 0.3788 (avg 0.6807) | LR 1.05e-05 | Batch 0.77s | Elapsed 1m 28s | ETA 11h 14m 45s | Next save in 25m 49s | Samples/s 9
[H100][visualweb] Step 15780/26578 | Loss 0.5827 (avg 0.6798) | LR 1.05e-05 | Batch 0.66s | Elapsed 1m 29s | ETA 11h 13m 19s | Next save in 25m 48s | Samples/s 9
[H100][visualweb] Step 15780/26578 | Loss 0.6572 (avg 0.6796) | LR 1.05e-05 | Batch 0.58s | Elapsed 1m 29s | ETA 11h 11m 19s | Next save in 25m 48s | Samples/s 9
[H100][visualweb] Step 15780/26578 | Loss 0.3917 (avg 0.6769) | LR 1.05e-05 | Batch 1.12s | Elapsed 1m 30s | ETA 11h 13m 20s | Next save in 25m 47s | Samples/s 9
[H100][visualweb] Step 15781/26578 | Loss 0.4440 (avg 0.6747) | LR 1.05e-05 | Batch 0.88s | Elapsed 1m 31s | ETA 11h 13m 34s | Next save in 25m 46s | Samples/s 9
[H100][visualweb] Step 15781/26578 | Loss 0.7011 (avg 0.6750) | LR 1.05e-05 | Batch 0.76s | Elapsed 1m 32s | ETA 11h 12m 57s | Next save in 25m 45s | Samples/s 9
[H100][visualweb] Step 15781/26578 | Loss 0.4699 (avg 0.6731) | LR 1.05e-05 | Batch 0.77s | Elapsed 1m 33s | ETA 11h 12m 24s | Next save in 25m 44s | Samples/s 9
[H100][visualweb] Step 15781/26578 | Loss 0.8315 (avg 0.6746) | LR 1.05e-05 | Batch 0.58s | Elapsed 1m 33s | ETA 11h 10m 29s | Next save in 25m 44s | Samples/s 9
[H100][visualweb] Step 15782/26578 | Loss 1.1177 (avg 0.6785) | LR 1.05e-05 | Batch 0.37s | Elapsed 1m 34s | ETA 11h 7m 7s | Next save in 25m 43s | Samples/s 10
[H100][visualweb] Step 15782/26578 | Loss 0.5249 (avg 0.6771) | LR 1.05e-05 | Batch 0.84s | Elapsed 1m 34s | ETA 11h 7m 5s | Next save in 25m 42s | Samples/s 10
[H100][visualweb] Step 15782/26578 | Loss 0.6850 (avg 0.6772) | LR 1.05e-05 | Batch 0.90s | Elapsed 1m 35s | ETA 11h 7m 27s | Next save in 25m 41s | Samples/s 10
[H100][visualweb] Step 15782/26578 | Loss 0.9344 (avg 0.6795) | LR 1.05e-05 | Batch 1.49s | Elapsed 1m 37s | ETA 11h 11m 54s | Next save in 25m 40s | Samples/s 9
[H100][visualweb] Step 15783/26578 | Loss 0.7910 (avg 0.6804) | LR 1.05e-05 | Batch 0.54s | Elapsed 1m 37s | ETA 11h 9m 47s | Next save in 25m 39s | Samples/s 9
[H100][visualweb] Step 15783/26578 | Loss 0.6750 (avg 0.6804) | LR 1.05e-05 | Batch 0.55s | Elapsed 1m 38s | ETA 11h 7m 48s | Next save in 25m 39s | Samples/s 10
[H100][visualweb] Step 15783/26578 | Loss 0.7442 (avg 0.6809) | LR 1.05e-05 | Batch 1.00s | Elapsed 1m 39s | ETA 11h 8m 51s | Next save in 25m 38s | Samples/s 9
[H100][visualweb] Step 15783/26578 | Loss 0.6777 (avg 0.6809) | LR 1.05e-05 | Batch 0.89s | Elapsed 1m 40s | ETA 11h 9m 9s | Next save in 25m 37s | Samples/s 9
[H100][visualweb] Step 15784/26578 | Loss 0.7330 (avg 0.6813) | LR 1.05e-05 | Batch 1.01s | Elapsed 1m 41s | ETA 11h 10m 15s | Next save in 25m 36s | Samples/s 9
