[MODEL] Loading SigLIP2 ...

Loading weights:   0%|          | 0/448 [00:00<?, ?it/s]
Loading weights:  61%|██████    | 273/448 [00:00<00:00, 2658.88it/s]
Loading weights: 100%|██████████| 448/448 [00:00<00:00, 2206.77it/s]
[transformers] [1mSiglipVisionModel LOAD REPORT[0m from: ../models/siglip2-so400m-patch16-256
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...26}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.weight            | UNEXPECTED |  | 
text_model.head.bias                                         | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc2.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.bias     | UNEXPECTED |  | 
logit_bias                                                   | UNEXPECTED |  | 
text_model.head.weight                                       | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[MODEL] SigLIP2 loaded and frozen.
[MODEL] Loading Qwen2.5-3B-Instruct ...
[MODEL] Registered '<image>' as special token.
[MODEL] <image> token id = 151665
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 434/434 [00:00<00:00, 11071.34it/s]
[MODEL] Qwen2.5 loaded, gradient checkpointing ON.
[MODEL] Trainable params: 3092.8M (projector + full decoder)

[TRAIN] Start | samples=381827 | batches/epoch=47728 | eff_batch=32 | total_opt_steps=11932
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.

[Epoch 1/1] Step 1/47728 | Loss 1.6283 (avg 1.6283) | LR 0.00e+00 | Batch 2.12s | Elapsed 2s | ETA 34h 19m 53s | Samples/s 4
[Epoch 1/1] Step 2/47728 | Loss 2.3748 (avg 2.0015) | LR 0.00e+00 | Batch 1.42s | Elapsed 4s | ETA 26h 33m 4s | Samples/s 6
[Epoch 1/1] Step 3/47728 | Loss 1.4321 (avg 1.8117) | LR 0.00e+00 | Batch 1.42s | Elapsed 5s | ETA 23h 59m 9s | Samples/s 6
[Epoch 1/1] Step 4/47728 | Loss 1.6939 (avg 1.7823) | LR 5.60e-08 | Batch 1.57s | Elapsed 6s | ETA 23h 11m 45s | Samples/s 5
[Epoch 1/1] Step 5/47728 | Loss 1.6492 (avg 1.7557) | LR 5.60e-08 | Batch 1.41s | Elapsed 8s | ETA 22h 18m 6s | Samples/s 6
[Epoch 1/1] Step 6/47728 | Loss 2.0378 (avg 1.8027) | LR 5.60e-08 | Batch 1.42s | Elapsed 9s | ETA 21h 43m 35s | Samples/s 6
[Epoch 1/1] Step 7/47728 | Loss 1.5086 (avg 1.7607) | LR 5.60e-08 | Batch 1.43s | Elapsed 11s | ETA 21h 19m 38s | Samples/s 6
[Epoch 1/1] Step 8/47728 | Loss 1.4287 (avg 1.7192) | LR 1.12e-07 | Batch 1.53s | Elapsed 12s | ETA 21h 11m 29s | Samples/s 5
[Epoch 1/1] Step 9/47728 | Loss 1.5229 (avg 1.6974) | LR 1.12e-07 | Batch 1.42s | Elapsed 14s | ETA 20h 55m 49s | Samples/s 6
[Epoch 1/1] Step 10/47728 | Loss 1.3320 (avg 1.6608) | LR 1.12e-07 | Batch 1.44s | Elapsed 15s | ETA 20h 44m 29s | Samples/s 6
[Epoch 1/1] Step 11/47728 | Loss 2.0222 (avg 1.6937) | LR 1.12e-07 | Batch 1.43s | Elapsed 17s | ETA 20h 34m 48s | Samples/s 6
[Epoch 1/1] Step 12/47728 | Loss 1.3754 (avg 1.6672) | LR 1.68e-07 | Batch 1.54s | Elapsed 18s | ETA 20h 33m 44s | Samples/s 5
[Epoch 1/1] Step 13/47728 | Loss 1.6455 (avg 1.6655) | LR 1.68e-07 | Batch 1.42s | Elapsed 20s | ETA 20h 26m 0s | Samples/s 6
[Epoch 1/1] Step 14/47728 | Loss 1.5231 (avg 1.6553) | LR 1.68e-07 | Batch 1.45s | Elapsed 21s | ETA 20h 20m 39s | Samples/s 6
[Epoch 1/1] Step 15/47728 | Loss 1.2054 (avg 1.6253) | LR 1.68e-07 | Batch 1.45s | Elapsed 22s | ETA 20h 16m 19s | Samples/s 6
[Epoch 1/1] Step 16/47728 | Loss 1.8017 (avg 1.6363) | LR 2.24e-07 | Batch 1.55s | Elapsed 24s | ETA 20h 17m 6s | Samples/s 5
[Epoch 1/1] Step 17/47728 | Loss 1.6257 (avg 1.6357) | LR 2.24e-07 | Batch 1.44s | Elapsed 25s | ETA 20h 12m 46s | Samples/s 6
[Epoch 1/1] Step 18/47728 | Loss 1.0720 (avg 1.6044) | LR 2.24e-07 | Batch 1.46s | Elapsed 27s | ETA 20h 9m 46s | Samples/s 5
[Epoch 1/1] Step 19/47728 | Loss 1.5501 (avg 1.6015) | LR 2.24e-07 | Batch 1.46s | Elapsed 28s | ETA 20h 7m 2s | Samples/s 5
[Epoch 1/1] Step 20/47728 | Loss 1.6648 (avg 1.6047) | LR 2.80e-07 | Batch 1.54s | Elapsed 30s | ETA 20h 7m 59s | Samples/s 5/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/PIL/Image.py:1034: UserWarning: Palette images with Transparency expressed in bytes should be converted to RGBA images
  warnings.warn(

[Epoch 1/1] Step 21/47728 | Loss 1.6002 (avg 1.6045) | LR 2.80e-07 | Batch 1.44s | Elapsed 31s | ETA 20h 5m 9s | Samples/s 6
[Epoch 1/1] Step 22/47728 | Loss 1.1884 (avg 1.5856) | LR 2.80e-07 | Batch 1.47s | Elapsed 33s | ETA 20h 3m 25s | Samples/s 5
[Epoch 1/1] Step 23/47728 | Loss 1.0170 (avg 1.5609) | LR 2.80e-07 | Batch 1.47s | Elapsed 34s | ETA 20h 1m 46s | Samples/s 5
[Epoch 1/1] Step 24/47728 | Loss 2.3097 (avg 1.5921) | LR 3.36e-07 | Batch 1.55s | Elapsed 36s | ETA 20h 3m 6s | Samples/s 5
[Epoch 1/1] Step 25/47728 | Loss 1.8199 (avg 1.6012) | LR 3.36e-07 | Batch 1.45s | Elapsed 37s | ETA 20h 1m 4s | Samples/s 6
[Epoch 1/1] Step 26/47728 | Loss 1.7802 (avg 1.6081) | LR 3.36e-07 | Batch 1.46s | Elapsed 39s | ETA 19h 59m 33s | Samples/s 5
[Epoch 1/1] Step 27/47728 | Loss 1.5858 (avg 1.6072) | LR 3.36e-07 | Batch 1.46s | Elapsed 40s | ETA 19h 58m 10s | Samples/s 5
[Epoch 1/1] Step 28/47728 | Loss 1.4740 (avg 1.6025) | LR 3.92e-07 | Batch 1.58s | Elapsed 42s | ETA 20h 0m 6s | Samples/s 5
[Epoch 1/1] Step 29/47728 | Loss 1.6652 (avg 1.6046) | LR 3.92e-07 | Batch 1.45s | Elapsed 43s | ETA 19h 58m 28s | Samples/s 6
[Epoch 1/1] Step 30/47728 | Loss 1.5128 (avg 1.6016) | LR 3.92e-07 | Batch 1.47s | Elapsed 45s | ETA 19h 57m 31s | Samples/s 5
[Epoch 1/1] Step 31/47728 | Loss 1.8526 (avg 1.6097) | LR 3.92e-07 | Batch 1.46s | Elapsed 46s | ETA 19h 56m 26s | Samples/s 5
[Epoch 1/1] Step 32/47728 | Loss 1.3284 (avg 1.6009) | LR 4.48e-07 | Batch 1.56s | Elapsed 48s | ETA 19h 57m 53s | Samples/s 5
[Epoch 1/1] Step 33/47728 | Loss 2.0156 (avg 1.6135) | LR 4.48e-07 | Batch 1.45s | Elapsed 49s | ETA 19h 56m 25s | Samples/s 6
[Epoch 1/1] Step 34/47728 | Loss 1.5215 (avg 1.6107) | LR 4.48e-07 | Batch 1.48s | Elapsed 51s | ETA 19h 55m 44s | Samples/s 5
[Epoch 1/1] Step 35/47728 | Loss 1.4998 (avg 1.6076) | LR 4.48e-07 | Batch 1.47s | Elapsed 52s | ETA 19h 55m 1s | Samples/s 5
[Epoch 1/1] Step 36/47728 | Loss 1.3056 (avg 1.5992) | LR 5.04e-07 | Batch 1.57s | Elapsed 54s | ETA 19h 56m 27s | Samples/s 5
[Epoch 1/1] Step 37/47728 | Loss 1.1033 (avg 1.5858) | LR 5.04e-07 | Batch 1.47s | Elapsed 55s | ETA 19h 55m 37s | Samples/s 5
[Epoch 1/1] Step 38/47728 | Loss 1.6746 (avg 1.5881) | LR 5.04e-07 | Batch 1.48s | Elapsed 57s | ETA 19h 55m 3s | Samples/s 5
[Epoch 1/1] Step 39/47728 | Loss 1.9601 (avg 1.5977) | LR 5.04e-07 | Batch 1.47s | Elapsed 58s | ETA 19h 54m 21s | Samples/s 5
[Epoch 1/1] Step 40/47728 | Loss 1.4339 (avg 1.5936) | LR 5.60e-07 | Batch 1.57s | Elapsed 1m 0s | ETA 19h 55m 36s | Samples/s 5
[Epoch 1/1] Step 41/47728 | Loss 1.5122 (avg 1.5916) | LR 5.60e-07 | Batch 1.45s | Elapsed 1m 1s | ETA 19h 54m 36s | Samples/s 6
[Epoch 1/1] Step 42/47728 | Loss 1.5593 (avg 1.5908) | LR 5.60e-07 | Batch 1.47s | Elapsed 1m 3s | ETA 19h 53m 59s | Samples/s 5
[Epoch 1/1] Step 43/47728 | Loss 1.5585 (avg 1.5901) | LR 5.60e-07 | Batch 1.47s | Elapsed 1m 4s | ETA 19h 53m 23s | Samples/s 5
[Epoch 1/1] Step 44/47728 | Loss 1.8807 (avg 1.5967) | LR 6.16e-07 | Batch 1.56s | Elapsed 1m 6s | ETA 19h 54m 28s | Samples/s 5
[Epoch 1/1] Step 45/47728 | Loss 1.3327 (avg 1.5908) | LR 6.16e-07 | Batch 1.46s | Elapsed 1m 7s | ETA 19h 53m 45s | Samples/s 5
[Epoch 1/1] Step 46/47728 | Loss 1.4067 (avg 1.5868) | LR 6.16e-07 | Batch 1.48s | Elapsed 1m 9s | ETA 19h 53m 18s | Samples/s 5
[Epoch 1/1] Step 47/47728 | Loss 1.4569 (avg 1.5840) | LR 6.16e-07 | Batch 1.47s | Elapsed 1m 10s | ETA 19h 52m 46s | Samples/s 5
[Epoch 1/1] Step 48/47728 | Loss 1.3992 (avg 1.5802) | LR 6.72e-07 | Batch 1.57s | Elapsed 1m 12s | ETA 19h 53m 49s | Samples/s 5
[Epoch 1/1] Step 49/47728 | Loss 1.0588 (avg 1.5695) | LR 6.72e-07 | Batch 1.46s | Elapsed 1m 13s | ETA 19h 53m 12s | Samples/s 5
[Epoch 1/1] Step 50/47728 | Loss 1.3570 (avg 1.5653) | LR 6.72e-07 | Batch 1.47s | Elapsed 1m 15s | ETA 19h 52m 40s | Samples/s 5
[Epoch 1/1] Step 51/47728 | Loss 1.0917 (avg 1.5560) | LR 6.72e-07 | Batch 1.48s | Elapsed 1m 16s | ETA 19h 52m 19s | Samples/s 5/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/PIL/Image.py:1034: UserWarning: Palette images with Transparency expressed in bytes should be converted to RGBA images
  warnings.warn(

[Epoch 1/1] Step 52/47728 | Loss 1.4832 (avg 1.5546) | LR 7.28e-07 | Batch 1.56s | Elapsed 1m 18s | ETA 19h 53m 15s | Samples/s 5
[Epoch 1/1] Step 53/47728 | Loss 1.1908 (avg 1.5477) | LR 7.28e-07 | Batch 1.47s | Elapsed 1m 19s | ETA 19h 52m 42s | Samples/s 5
[Epoch 1/1] Step 54/47728 | Loss 1.2965 (avg 1.5431) | LR 7.28e-07 | Batch 1.48s | Elapsed 1m 21s | ETA 19h 52m 20s | Samples/s 5
[Epoch 1/1] Step 55/47728 | Loss 1.3851 (avg 1.5402) | LR 7.28e-07 | Batch 1.47s | Elapsed 1m 22s | ETA 19h 51m 52s | Samples/s 5
[Epoch 1/1] Step 56/47728 | Loss 1.3455 (avg 1.5367) | LR 7.84e-07 | Batch 1.56s | Elapsed 1m 24s | ETA 19h 52m 45s | Samples/s 5
[Epoch 1/1] Step 57/47728 | Loss 1.5937 (avg 1.5377) | LR 7.84e-07 | Batch 1.45s | Elapsed 1m 25s | ETA 19h 52m 3s | Samples/s 6
[Epoch 1/1] Step 58/47728 | Loss 1.3412 (avg 1.5344) | LR 7.84e-07 | Batch 1.48s | Elapsed 1m 27s | ETA 19h 51m 45s | Samples/s 5
[Epoch 1/1] Step 59/47728 | Loss 1.9161 (avg 1.5408) | LR 7.84e-07 | Batch 1.47s | Elapsed 1m 28s | ETA 19h 51m 16s | Samples/s 5
[Epoch 1/1] Step 60/47728 | Loss 1.5721 (avg 1.5413) | LR 8.40e-07 | Batch 1.56s | Elapsed 1m 30s | ETA 19h 52m 2s | Samples/s 5
[Epoch 1/1] Step 61/47728 | Loss 1.6201 (avg 1.5426) | LR 8.40e-07 | Batch 1.46s | Elapsed 1m 31s | ETA 19h 51m 26s | Samples/s 5
[Epoch 1/1] Step 62/47728 | Loss 1.4894 (avg 1.5418) | LR 8.40e-07 | Batch 1.46s | Elapsed 1m 32s | ETA 19h 50m 57s | Samples/s 5
[Epoch 1/1] Step 63/47728 | Loss 1.2466 (avg 1.5371) | LR 8.40e-07 | Batch 1.47s | Elapsed 1m 34s | ETA 19h 50m 32s | Samples/s 5
[Epoch 1/1] Step 64/47728 | Loss 2.0229 (avg 1.5447) | LR 8.96e-07 | Batch 1.71s | Elapsed 1m 36s | ETA 19h 53m 8s | Samples/s 5
[Epoch 1/1] Step 65/47728 | Loss 1.6848 (avg 1.5468) | LR 8.96e-07 | Batch 1.45s | Elapsed 1m 37s | ETA 19h 52m 30s | Samples/s 6
[Epoch 1/1] Step 66/47728 | Loss 1.6548 (avg 1.5485) | LR 8.96e-07 | Batch 1.47s | Elapsed 1m 39s | ETA 19h 52m 3s | Samples/s 5
[Epoch 1/1] Step 67/47728 | Loss 1.3284 (avg 1.5452) | LR 8.96e-07 | Batch 1.47s | Elapsed 1m 40s | ETA 19h 51m 42s | Samples/s 5
[Epoch 1/1] Step 68/47728 | Loss 1.7815 (avg 1.5487) | LR 9.52e-07 | Batch 1.56s | Elapsed 1m 42s | ETA 19h 52m 19s | Samples/s 5
[Epoch 1/1] Step 69/47728 | Loss 1.1763 (avg 1.5433) | LR 9.52e-07 | Batch 1.45s | Elapsed 1m 43s | ETA 19h 51m 44s | Samples/s 6
[Epoch 1/1] Step 70/47728 | Loss 1.3016 (avg 1.5398) | LR 9.52e-07 | Batch 1.47s | Elapsed 1m 44s | ETA 19h 51m 22s | Samples/s 5
[Epoch 1/1] Step 71/47728 | Loss 1.0285 (avg 1.5326) | LR 9.52e-07 | Batch 1.47s | Elapsed 1m 46s | ETA 19h 51m 4s | Samples/s 5
[Epoch 1/1] Step 72/47728 | Loss 1.4296 (avg 1.5312) | LR 1.01e-06 | Batch 1.56s | Elapsed 1m 48s | ETA 19h 51m 40s | Samples/s 5
[Epoch 1/1] Step 73/47728 | Loss 1.8088 (avg 1.5350) | LR 1.01e-06 | Batch 1.45s | Elapsed 1m 49s | ETA 19h 51m 3s | Samples/s 6
[Epoch 1/1] Step 74/47728 | Loss 2.0638 (avg 1.5421) | LR 1.01e-06 | Batch 1.46s | Elapsed 1m 50s | ETA 19h 50m 38s | Samples/s 5
[Epoch 1/1] Step 75/47728 | Loss 1.5065 (avg 1.5417) | LR 1.01e-06 | Batch 1.47s | Elapsed 1m 52s | ETA 19h 50m 18s | Samples/s 5
[Epoch 1/1] Step 76/47728 | Loss 1.4452 (avg 1.5404) | LR 1.06e-06 | Batch 1.57s | Elapsed 1m 53s | ETA 19h 50m 59s | Samples/s 5
[Epoch 1/1] Step 77/47728 | Loss 1.5757 (avg 1.5408) | LR 1.06e-06 | Batch 1.45s | Elapsed 1m 55s | ETA 19h 50m 29s | Samples/s 6
[Epoch 1/1] Step 78/47728 | Loss 1.5303 (avg 1.5407) | LR 1.06e-06 | Batch 1.47s | Elapsed 1m 56s | ETA 19h 50m 8s | Samples/s 5
[Epoch 1/1] Step 79/47728 | Loss 1.4558 (avg 1.5396) | LR 1.06e-06 | Batch 1.47s | Elapsed 1m 58s | ETA 19h 49m 48s | Samples/s 5
[Epoch 1/1] Step 80/47728 | Loss 1.5086 (avg 1.5392) | LR 1.12e-06 | Batch 1.56s | Elapsed 1m 59s | ETA 19h 50m 22s | Samples/s 5
[Epoch 1/1] Step 81/47728 | Loss 1.5507 (avg 1.5394) | LR 1.12e-06 | Batch 1.45s | Elapsed 2m 1s | ETA 19h 49m 50s | Samples/s 6
[Epoch 1/1] Step 82/47728 | Loss 1.3104 (avg 1.5366) | LR 1.12e-06 | Batch 1.47s | Elapsed 2m 2s | ETA 19h 49m 31s | Samples/s 5
[Epoch 1/1] Step 83/47728 | Loss 1.2885 (avg 1.5336) | LR 1.12e-06 | Batch 1.46s | Elapsed 2m 4s | ETA 19h 49m 7s | Samples/s 5
[Epoch 1/1] Step 84/47728 | Loss 1.4573 (avg 1.5327) | LR 1.18e-06 | Batch 1.55s | Elapsed 2m 5s | ETA 19h 49m 35s | Samples/s 5
[Epoch 1/1] Step 85/47728 | Loss 1.7401 (avg 1.5351) | LR 1.18e-06 | Batch 1.45s | Elapsed 2m 7s | ETA 19h 49m 7s | Samples/s 6
[Epoch 1/1] Step 86/47728 | Loss 1.4200 (avg 1.5338) | LR 1.18e-06 | Batch 1.46s | Elapsed 2m 8s | ETA 19h 48m 45s | Samples/s 5
[Epoch 1/1] Step 87/47728 | Loss 1.2332 (avg 1.5303) | LR 1.18e-06 | Batch 1.46s | Elapsed 2m 10s | ETA 19h 48m 25s | Samples/s 5
[Epoch 1/1] Step 88/47728 | Loss 1.4907 (avg 1.5299) | LR 1.23e-06 | Batch 1.56s | Elapsed 2m 11s | ETA 19h 48m 56s | Samples/s 5
[Epoch 1/1] Step 89/47728 | Loss 2.1731 (avg 1.5371) | LR 1.23e-06 | Batch 1.44s | Elapsed 2m 13s | ETA 19h 48m 24s | Samples/s 6
[Epoch 1/1] Step 90/47728 | Loss 1.4719 (avg 1.5364) | LR 1.23e-06 | Batch 1.46s | Elapsed 2m 14s | ETA 19h 48m 3s | Samples/s 5
[Epoch 1/1] Step 91/47728 | Loss 0.9400 (avg 1.5298) | LR 1.23e-06 | Batch 1.46s | Elapsed 2m 16s | ETA 19h 47m 46s | Samples/s 5
[Epoch 1/1] Step 92/47728 | Loss 1.8204 (avg 1.5330) | LR 1.29e-06 | Batch 1.55s | Elapsed 2m 17s | ETA 19h 48m 10s | Samples/s 5
[Epoch 1/1] Step 93/47728 | Loss 1.2302 (avg 1.5297) | LR 1.29e-06 | Batch 1.45s | Elapsed 2m 19s | ETA 19h 47m 43s | Samples/s 6
[Epoch 1/1] Step 94/47728 | Loss 1.5372 (avg 1.5298) | LR 1.29e-06 | Batch 1.46s | Elapsed 2m 20s | ETA 19h 47m 22s | Samples/s 5
[Epoch 1/1] Step 95/47728 | Loss 1.2356 (avg 1.5267) | LR 1.29e-06 | Batch 1.46s | Elapsed 2m 22s | ETA 19h 47m 5s | Samples/s 5
[Epoch 1/1] Step 96/47728 | Loss 1.0195 (avg 1.5214) | LR 1.34e-06 | Batch 1.57s | Elapsed 2m 23s | ETA 19h 47m 39s | Samples/s 5
[Epoch 1/1] Step 97/47728 | Loss 1.4669 (avg 1.5209) | LR 1.34e-06 | Batch 1.44s | Elapsed 2m 25s | ETA 19h 47m 10s | Samples/s 6
[Epoch 1/1] Step 98/47728 | Loss 1.4835 (avg 1.5205) | LR 1.34e-06 | Batch 1.46s | Elapsed 2m 26s | ETA 19h 46m 51s | Samples/s 5
[Epoch 1/1] Step 99/47728 | Loss 1.8110 (avg 1.5234) | LR 1.34e-06 | Batch 1.45s | Elapsed 2m 27s | ETA 19h 46m 29s | Samples/s 6
[Epoch 1/1] Step 100/47728 | Loss 1.6655 (avg 1.5249) | LR 1.40e-06 | Batch 1.55s | Elapsed 2m 29s | ETA 19h 46m 54s | Samples/s 5
[Epoch 1/1] Step 101/47728 | Loss 1.6087 (avg 1.5257) | LR 1.40e-06 | Batch 1.44s | Elapsed 2m 30s | ETA 19h 46m 26s | Samples/s 6
[Epoch 1/1] Step 102/47728 | Loss 1.0433 (avg 1.5210) | LR 1.40e-06 | Batch 1.46s | Elapsed 2m 32s | ETA 19h 46m 8s | Samples/s 5
[Epoch 1/1] Step 103/47728 | Loss 2.0459 (avg 1.5261) | LR 1.40e-06 | Batch 1.45s | Elapsed 2m 33s | ETA 19h 45m 46s | Samples/s 6
