[MODEL] Loading SigLIP2 ...

Loading weights:   0%|          | 0/448 [00:00<?, ?it/s]
Loading weights:  66%|██████▋   | 297/448 [00:00<00:00, 2800.90it/s]
Loading weights: 100%|██████████| 448/448 [00:00<00:00, 2356.12it/s]
[transformers] [1mSiglipVisionModel LOAD REPORT[0m from: ../models/siglip2-so400m-patch16-256
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...26}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.layer_norm2.weight        | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc1.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.mlp.fc2.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...26}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 
logit_bias                                                   | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.head.weight                                       | UNEXPECTED |  | 
text_model.head.bias                                         | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[MODEL] SigLIP2 loaded and frozen.
[MODEL] Loading Qwen2.5-3B-Instruct ...
[MODEL] Registered '<image>' as special token.
[MODEL] <image> token id = 151665
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 434/434 [00:00<00:00, 11479.36it/s]
[MODEL] Qwen2.5 loaded, gradient checkpointing ON.
[RESUME] Projector loaded from ../checkpoints/stage2/step2500/projector.bin

Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 434/434 [00:00<00:00, 10777.68it/s]
[RESUME] Decoder loaded from ../checkpoints/stage2/step2500
[MODEL] Trainable params: 3092.8M

[TRAIN] Start | samples=381827 | remaining_batches=190913 | eff_batch=16 | total_opt_steps=23865 | resuming_from_step=0
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.

[Epoch 1/1] Step 1/23865 | Loss 0.4981 (avg 0.4981) | LR 0.00e+00 | Batch 1.25s | Elapsed 1s | ETA 75h 29m 51s | Samples/s 2
[Epoch 1/1] Step 2/23865 | Loss 0.6624 (avg 0.5802) | LR 0.00e+00 | Batch 0.81s | Elapsed 2s | ETA 59h 11m 29s | Samples/s 2
[Epoch 1/1] Step 3/23865 | Loss 0.3967 (avg 0.5191) | LR 0.00e+00 | Batch 0.83s | Elapsed 3s | ETA 54h 13m 7s | Samples/s 2
[Epoch 1/1] Step 4/23865 | Loss 0.5532 (avg 0.5276) | LR 0.00e+00 | Batch 0.81s | Elapsed 3s | ETA 51h 25m 23s | Samples/s 2
[Epoch 1/1] Step 5/23865 | Loss 0.6194 (avg 0.5460) | LR 0.00e+00 | Batch 0.82s | Elapsed 4s | ETA 49h 49m 21s | Samples/s 2
[Epoch 1/1] Step 6/23865 | Loss 0.6459 (avg 0.5626) | LR 0.00e+00 | Batch 0.80s | Elapsed 5s | ETA 48h 37m 49s | Samples/s 2
[Epoch 1/1] Step 7/23865 | Loss 1.3330 (avg 0.6727) | LR 0.00e+00 | Batch 0.81s | Elapsed 6s | ETA 47h 48m 15s | Samples/s 2
[Epoch 1/1] Step 8/23865 | Loss 0.2433 (avg 0.6190) | LR 2.80e-08 | Batch 1.07s | Elapsed 7s | ETA 48h 54m 40s | Samples/s 2
[Epoch 1/1] Step 9/23865 | Loss 0.4960 (avg 0.6053) | LR 2.80e-08 | Batch 0.85s | Elapsed 8s | ETA 48h 28m 48s | Samples/s 2
[Epoch 1/1] Step 10/23865 | Loss 0.9733 (avg 0.6421) | LR 2.80e-08 | Batch 0.82s | Elapsed 9s | ETA 48h 0m 31s | Samples/s 2
[Epoch 1/1] Step 11/23865 | Loss 0.4038 (avg 0.6205) | LR 2.80e-08 | Batch 0.82s | Elapsed 9s | ETA 47h 36m 38s | Samples/s 2
[Epoch 1/1] Step 12/23865 | Loss 0.5374 (avg 0.6135) | LR 2.80e-08 | Batch 0.81s | Elapsed 10s | ETA 47h 13m 51s | Samples/s 2
[Epoch 1/1] Step 13/23865 | Loss 1.3860 (avg 0.6730) | LR 2.80e-08 | Batch 0.81s | Elapsed 11s | ETA 46h 54m 28s | Samples/s 2
[Epoch 1/1] Step 14/23865 | Loss 0.5333 (avg 0.6630) | LR 2.80e-08 | Batch 0.82s | Elapsed 12s | ETA 46h 39m 43s | Samples/s 2
[Epoch 1/1] Step 15/23865 | Loss 1.0802 (avg 0.6908) | LR 2.80e-08 | Batch 0.81s | Elapsed 13s | ETA 46h 24m 52s | Samples/s 2
[Epoch 1/1] Step 16/23865 | Loss 0.1940 (avg 0.6597) | LR 5.59e-08 | Batch 1.06s | Elapsed 14s | ETA 47h 1m 47s | Samples/s 2
[Epoch 1/1] Step 17/23865 | Loss 1.1147 (avg 0.6865) | LR 5.59e-08 | Batch 0.79s | Elapsed 14s | ETA 46h 43m 10s | Samples/s 3
[Epoch 1/1] Step 18/23865 | Loss 0.7582 (avg 0.6905) | LR 5.59e-08 | Batch 0.82s | Elapsed 15s | ETA 46h 33m 0s | Samples/s 2
[Epoch 1/1] Step 19/23865 | Loss 0.6374 (avg 0.6877) | LR 5.59e-08 | Batch 0.82s | Elapsed 16s | ETA 46h 23m 34s | Samples/s 2
[Epoch 1/1] Step 20/23865 | Loss 0.3115 (avg 0.6689) | LR 5.59e-08 | Batch 0.82s | Elapsed 17s | ETA 46h 14m 53s | Samples/s 2
[Epoch 1/1] Step 21/23865 | Loss 0.9272 (avg 0.6812) | LR 5.59e-08 | Batch 0.81s | Elapsed 18s | ETA 46h 6m 8s | Samples/s 2
[Epoch 1/1] Step 22/23865 | Loss 0.4553 (avg 0.6709) | LR 5.59e-08 | Batch 0.84s | Elapsed 19s | ETA 46h 2m 1s | Samples/s 2
[Epoch 1/1] Step 23/23865 | Loss 0.4164 (avg 0.6599) | LR 5.59e-08 | Batch 0.83s | Elapsed 19s | ETA 45h 56m 8s | Samples/s 2
[Epoch 1/1] Step 24/23865 | Loss 0.2461 (avg 0.6426) | LR 8.39e-08 | Batch 1.03s | Elapsed 20s | ETA 46h 18m 10s | Samples/s 2
[Epoch 1/1] Step 25/23865 | Loss 0.3808 (avg 0.6321) | LR 8.39e-08 | Batch 0.81s | Elapsed 21s | ETA 46h 9m 40s | Samples/s 2
[Epoch 1/1] Step 26/23865 | Loss 1.0674 (avg 0.6489) | LR 8.39e-08 | Batch 0.83s | Elapsed 22s | ETA 46h 4m 34s | Samples/s 2
[Epoch 1/1] Step 27/23865 | Loss 0.4410 (avg 0.6412) | LR 8.39e-08 | Batch 0.83s | Elapsed 23s | ETA 46h 0m 35s | Samples/s 2
[Epoch 1/1] Step 28/23865 | Loss 0.8550 (avg 0.6488) | LR 8.39e-08 | Batch 0.84s | Elapsed 24s | ETA 45h 57m 0s | Samples/s 2
[Epoch 1/1] Step 29/23865 | Loss 0.6924 (avg 0.6503) | LR 8.39e-08 | Batch 0.82s | Elapsed 25s | ETA 45h 52m 7s | Samples/s 2
[Epoch 1/1] Step 30/23865 | Loss 0.4319 (avg 0.6430) | LR 8.39e-08 | Batch 0.85s | Elapsed 25s | ETA 45h 50m 12s | Samples/s 2
[Epoch 1/1] Step 31/23865 | Loss 0.4362 (avg 0.6364) | LR 8.39e-08 | Batch 0.84s | Elapsed 26s | ETA 45h 47m 34s | Samples/s 2
[Epoch 1/1] Step 32/23865 | Loss 0.9699 (avg 0.6468) | LR 1.12e-07 | Batch 1.03s | Elapsed 27s | ETA 46h 3m 44s | Samples/s 2
[Epoch 1/1] Step 33/23865 | Loss 0.6175 (avg 0.6459) | LR 1.12e-07 | Batch 0.79s | Elapsed 28s | ETA 45h 56m 25s | Samples/s 3
[Epoch 1/1] Step 34/23865 | Loss 0.6061 (avg 0.6447) | LR 1.12e-07 | Batch 0.84s | Elapsed 29s | ETA 45h 53m 32s | Samples/s 2
[Epoch 1/1] Step 35/23865 | Loss 0.5328 (avg 0.6415) | LR 1.12e-07 | Batch 0.84s | Elapsed 30s | ETA 45h 51m 38s | Samples/s 2
[Epoch 1/1] Step 36/23865 | Loss 0.3978 (avg 0.6348) | LR 1.12e-07 | Batch 0.84s | Elapsed 31s | ETA 45h 49m 34s | Samples/s 2
[Epoch 1/1] Step 37/23865 | Loss 1.0962 (avg 0.6472) | LR 1.12e-07 | Batch 0.83s | Elapsed 31s | ETA 45h 46m 30s | Samples/s 2
[Epoch 1/1] Step 38/23865 | Loss 0.7735 (avg 0.6506) | LR 1.12e-07 | Batch 0.83s | Elapsed 32s | ETA 45h 43m 28s | Samples/s 2
[Epoch 1/1] Step 39/23865 | Loss 0.9037 (avg 0.6571) | LR 1.12e-07 | Batch 0.85s | Elapsed 33s | ETA 45h 42m 4s | Samples/s 2
[Epoch 1/1] Step 40/23865 | Loss 1.2679 (avg 0.6723) | LR 1.40e-07 | Batch 1.03s | Elapsed 34s | ETA 45h 55m 6s | Samples/s 2
[Epoch 1/1] Step 41/23865 | Loss 1.3306 (avg 0.6884) | LR 1.40e-07 | Batch 0.79s | Elapsed 35s | ETA 45h 49m 15s | Samples/s 3
[Epoch 1/1] Step 42/23865 | Loss 1.2367 (avg 0.7014) | LR 1.40e-07 | Batch 0.83s | Elapsed 36s | ETA 45h 46m 38s | Samples/s 2
[Epoch 1/1] Step 43/23865 | Loss 0.8949 (avg 0.7059) | LR 1.40e-07 | Batch 0.83s | Elapsed 37s | ETA 45h 44m 4s | Samples/s 2/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/PIL/Image.py:1034: UserWarning: Palette images with Transparency expressed in bytes should be converted to RGBA images
  warnings.warn(

[Epoch 1/1] Step 44/23865 | Loss 0.7016 (avg 0.7058) | LR 1.40e-07 | Batch 0.85s | Elapsed 37s | ETA 45h 43m 13s | Samples/s 2
[Epoch 1/1] Step 45/23865 | Loss 0.5451 (avg 0.7023) | LR 1.40e-07 | Batch 0.85s | Elapsed 38s | ETA 45h 42m 6s | Samples/s 2
[Epoch 1/1] Step 46/23865 | Loss 0.3551 (avg 0.6947) | LR 1.40e-07 | Batch 0.85s | Elapsed 39s | ETA 45h 41m 7s | Samples/s 2
[Epoch 1/1] Step 47/23865 | Loss 0.6913 (avg 0.6946) | LR 1.40e-07 | Batch 0.83s | Elapsed 40s | ETA 45h 38m 58s | Samples/s 2
[Epoch 1/1] Step 48/23865 | Loss 0.4261 (avg 0.6891) | LR 1.68e-07 | Batch 1.04s | Elapsed 41s | ETA 45h 50m 34s | Samples/s 2
[Epoch 1/1] Step 49/23865 | Loss 0.6447 (avg 0.6881) | LR 1.68e-07 | Batch 0.81s | Elapsed 42s | ETA 45h 46m 49s | Samples/s 2
[Epoch 1/1] Step 50/23865 | Loss 1.0183 (avg 0.6947) | LR 1.68e-07 | Batch 0.87s | Elapsed 43s | ETA 45h 47m 29s | Samples/s 2
[Epoch 1/1] Step 51/23865 | Loss 1.2261 (avg 0.7052) | LR 1.68e-07 | Batch 0.84s | Elapsed 44s | ETA 45h 45m 48s | Samples/s 2
[Epoch 1/1] Step 52/23865 | Loss 0.9309 (avg 0.7095) | LR 1.68e-07 | Batch 0.86s | Elapsed 44s | ETA 45h 45m 19s | Samples/s 2
[Epoch 1/1] Step 53/23865 | Loss 1.2794 (avg 0.7203) | LR 1.68e-07 | Batch 0.86s | Elapsed 45s | ETA 45h 44m 58s | Samples/s 2
[Epoch 1/1] Step 54/23865 | Loss 0.5696 (avg 0.7175) | LR 1.68e-07 | Batch 0.85s | Elapsed 46s | ETA 45h 44m 12s | Samples/s 2
[Epoch 1/1] Step 55/23865 | Loss 0.4570 (avg 0.7127) | LR 1.68e-07 | Batch 0.85s | Elapsed 47s | ETA 45h 43m 29s | Samples/s 2
[Epoch 1/1] Step 56/23865 | Loss 0.7228 (avg 0.7129) | LR 1.96e-07 | Batch 1.04s | Elapsed 48s | ETA 45h 53m 31s | Samples/s 2
[Epoch 1/1] Step 57/23865 | Loss 1.0716 (avg 0.7192) | LR 1.96e-07 | Batch 0.81s | Elapsed 49s | ETA 45h 50m 40s | Samples/s 2
[Epoch 1/1] Step 58/23865 | Loss 0.7299 (avg 0.7194) | LR 1.96e-07 | Batch 0.85s | Elapsed 50s | ETA 45h 49m 46s | Samples/s 2
[Epoch 1/1] Step 59/23865 | Loss 1.0560 (avg 0.7251) | LR 1.96e-07 | Batch 0.85s | Elapsed 50s | ETA 45h 49m 13s | Samples/s 2
[Epoch 1/1] Step 60/23865 | Loss 0.2808 (avg 0.7177) | LR 1.96e-07 | Batch 0.86s | Elapsed 51s | ETA 45h 49m 0s | Samples/s 2
[Epoch 1/1] Step 61/23865 | Loss 0.7831 (avg 0.7188) | LR 1.96e-07 | Batch 0.85s | Elapsed 52s | ETA 45h 48m 26s | Samples/s 2
[Epoch 1/1] Step 62/23865 | Loss 0.7342 (avg 0.7190) | LR 1.96e-07 | Batch 0.84s | Elapsed 53s | ETA 45h 47m 27s | Samples/s 2
[Epoch 1/1] Step 63/23865 | Loss 0.8641 (avg 0.7213) | LR 1.96e-07 | Batch 0.93s | Elapsed 54s | ETA 45h 50m 56s | Samples/s 2
[Epoch 1/1] Step 64/23865 | Loss 0.8694 (avg 0.7236) | LR 2.24e-07 | Batch 1.05s | Elapsed 55s | ETA 46h 0m 1s | Samples/s 2
[Epoch 1/1] Step 65/23865 | Loss 0.9987 (avg 0.7279) | LR 2.24e-07 | Batch 0.80s | Elapsed 56s | ETA 45h 56m 40s | Samples/s 3
[Epoch 1/1] Step 66/23865 | Loss 0.6218 (avg 0.7263) | LR 2.24e-07 | Batch 0.84s | Elapsed 57s | ETA 45h 55m 35s | Samples/s 2
[Epoch 1/1] Step 67/23865 | Loss 0.6183 (avg 0.7246) | LR 2.24e-07 | Batch 0.86s | Elapsed 58s | ETA 45h 55m 13s | Samples/s 2
[Epoch 1/1] Step 68/23865 | Loss 0.3880 (avg 0.7197) | LR 2.24e-07 | Batch 0.86s | Elapsed 58s | ETA 45h 54m 43s | Samples/s 2
[Epoch 1/1] Step 69/23865 | Loss 0.7959 (avg 0.7208) | LR 2.24e-07 | Batch 0.84s | Elapsed 59s | ETA 45h 53m 40s | Samples/s 2
[Epoch 1/1] Step 70/23865 | Loss 1.1768 (avg 0.7273) | LR 2.24e-07 | Batch 0.84s | Elapsed 1m 0s | ETA 45h 52m 30s | Samples/s 2
[Epoch 1/1] Step 71/23865 | Loss 0.4984 (avg 0.7241) | LR 2.24e-07 | Batch 0.84s | Elapsed 1m 1s | ETA 45h 51m 22s | Samples/s 2
[Epoch 1/1] Step 72/23865 | Loss 0.7675 (avg 0.7247) | LR 2.52e-07 | Batch 1.04s | Elapsed 1m 2s | ETA 45h 59m 16s | Samples/s 2
[Epoch 1/1] Step 73/23865 | Loss 0.3924 (avg 0.7201) | LR 2.52e-07 | Batch 0.83s | Elapsed 1m 3s | ETA 45h 57m 36s | Samples/s 2
[Epoch 1/1] Step 74/23865 | Loss 0.8366 (avg 0.7217) | LR 2.52e-07 | Batch 0.86s | Elapsed 1m 4s | ETA 45h 57m 21s | Samples/s 2
[Epoch 1/1] Step 75/23865 | Loss 0.4711 (avg 0.7184) | LR 2.52e-07 | Batch 0.87s | Elapsed 1m 5s | ETA 45h 57m 25s | Samples/s 2
[Epoch 1/1] Step 76/23865 | Loss 1.1016 (avg 0.7234) | LR 2.52e-07 | Batch 0.85s | Elapsed 1m 5s | ETA 45h 56m 45s | Samples/s 2
[Epoch 1/1] Step 77/23865 | Loss 0.4330 (avg 0.7196) | LR 2.52e-07 | Batch 0.89s | Elapsed 1m 6s | ETA 45h 57m 31s | Samples/s 2
[Epoch 1/1] Step 78/23865 | Loss 0.6725 (avg 0.7190) | LR 2.52e-07 | Batch 0.86s | Elapsed 1m 7s | ETA 45h 57m 10s | Samples/s 2
[Epoch 1/1] Step 79/23865 | Loss 0.6313 (avg 0.7179) | LR 2.52e-07 | Batch 0.87s | Elapsed 1m 8s | ETA 45h 57m 8s | Samples/s 2
[Epoch 1/1] Step 80/23865 | Loss 0.5261 (avg 0.7155) | LR 2.80e-07 | Batch 1.06s | Elapsed 1m 9s | ETA 46h 4m 59s | Samples/s 2
[Epoch 1/1] Step 81/23865 | Loss 0.3751 (avg 0.7113) | LR 2.80e-07 | Batch 0.84s | Elapsed 1m 10s | ETA 46h 3m 57s | Samples/s 2
[Epoch 1/1] Step 82/23865 | Loss 1.7968 (avg 0.7246) | LR 2.80e-07 | Batch 0.85s | Elapsed 1m 11s | ETA 46h 3m 16s | Samples/s 2
[Epoch 1/1] Step 83/23865 | Loss 0.3798 (avg 0.7204) | LR 2.80e-07 | Batch 0.88s | Elapsed 1m 12s | ETA 46h 3m 35s | Samples/s 2
[Epoch 1/1] Step 84/23865 | Loss 0.8754 (avg 0.7223) | LR 2.80e-07 | Batch 0.86s | Elapsed 1m 12s | ETA 46h 3m 9s | Samples/s 2
[Epoch 1/1] Step 85/23865 | Loss 0.4394 (avg 0.7189) | LR 2.80e-07 | Batch 0.86s | Elapsed 1m 13s | ETA 46h 2m 42s | Samples/s 2
[Epoch 1/1] Step 86/23865 | Loss 0.6011 (avg 0.7176) | LR 2.80e-07 | Batch 0.85s | Elapsed 1m 14s | ETA 46h 2m 9s | Samples/s 2
[Epoch 1/1] Step 87/23865 | Loss 1.0366 (avg 0.7212) | LR 2.80e-07 | Batch 0.86s | Elapsed 1m 15s | ETA 46h 2m 0s | Samples/s 2
[Epoch 1/1] Step 88/23865 | Loss 1.7011 (avg 0.7324) | LR 3.08e-07 | Batch 1.05s | Elapsed 1m 16s | ETA 46h 8m 35s | Samples/s 2
[Epoch 1/1] Step 89/23865 | Loss 0.4394 (avg 0.7291) | LR 3.08e-07 | Batch 0.82s | Elapsed 1m 17s | ETA 46h 6m 39s | Samples/s 2
[Epoch 1/1] Step 90/23865 | Loss 0.8849 (avg 0.7308) | LR 3.08e-07 | Batch 0.86s | Elapsed 1m 18s | ETA 46h 6m 14s | Samples/s 2
[Epoch 1/1] Step 91/23865 | Loss 1.0502 (avg 0.7343) | LR 3.08e-07 | Batch 0.87s | Elapsed 1m 19s | ETA 46h 6m 9s | Samples/s 2
[Epoch 1/1] Step 92/23865 | Loss 0.5723 (avg 0.7325) | LR 3.08e-07 | Batch 0.86s | Elapsed 1m 20s | ETA 46h 5m 49s | Samples/s 2
[Epoch 1/1] Step 93/23865 | Loss 1.0104 (avg 0.7355) | LR 3.08e-07 | Batch 0.85s | Elapsed 1m 20s | ETA 46h 5m 4s | Samples/s 2
[Epoch 1/1] Step 94/23865 | Loss 0.6951 (avg 0.7351) | LR 3.08e-07 | Batch 0.86s | Elapsed 1m 21s | ETA 46h 4m 38s | Samples/s 2
[Epoch 1/1] Step 95/23865 | Loss 0.9142 (avg 0.7370) | LR 3.08e-07 | Batch 0.87s | Elapsed 1m 22s | ETA 46h 4m 36s | Samples/s 2
[Epoch 1/1] Step 96/23865 | Loss 1.2439 (avg 0.7423) | LR 3.36e-07 | Batch 1.07s | Elapsed 1m 23s | ETA 46h 11m 15s | Samples/s 2
[Epoch 1/1] Step 97/23865 | Loss 0.4098 (avg 0.7388) | LR 3.36e-07 | Batch 0.84s | Elapsed 1m 24s | ETA 46h 10m 17s | Samples/s 2
[Epoch 1/1] Step 98/23865 | Loss 0.7303 (avg 0.7388) | LR 3.36e-07 | Batch 0.87s | Elapsed 1m 25s | ETA 46h 10m 9s | Samples/s 2
[Epoch 1/1] Step 99/23865 | Loss 0.4524 (avg 0.7359) | LR 3.36e-07 | Batch 0.88s | Elapsed 1m 26s | ETA 46h 10m 24s | Samples/s 2
[Epoch 1/1] Step 100/23865 | Loss 1.1762 (avg 0.7403) | LR 3.36e-07 | Batch 0.84s | Elapsed 1m 27s | ETA 46h 9m 28s | Samples/s 2
[Epoch 1/1] Step 101/23865 | Loss 0.6709 (avg 0.7396) | LR 3.36e-07 | Batch 0.87s | Elapsed 1m 27s | ETA 46h 9m 18s | Samples/s 2
[Epoch 1/1] Step 102/23865 | Loss 0.7103 (avg 0.7393) | LR 3.36e-07 | Batch 0.85s | Elapsed 1m 28s | ETA 46h 8m 40s | Samples/s 2
[Epoch 1/1] Step 103/23865 | Loss 0.6108 (avg 0.7380) | LR 3.36e-07 | Batch 0.90s | Elapsed 1m 29s | ETA 46h 9m 30s | Samples/s 2
[Epoch 1/1] Step 104/23865 | Loss 0.7691 (avg 0.7383) | LR 3.64e-07 | Batch 1.09s | Elapsed 1m 30s | ETA 46h 16m 15s | Samples/s 2
[Epoch 1/1] Step 105/23865 | Loss 0.9217 (avg 0.7401) | LR 3.64e-07 | Batch 0.85s | Elapsed 1m 31s | ETA 46h 15m 25s | Samples/s 2
[Epoch 1/1] Step 106/23865 | Loss 0.4309 (avg 0.7372) | LR 3.64e-07 | Batch 0.86s | Elapsed 1m 32s | ETA 46h 15m 3s | Samples/s 2
[Epoch 1/1] Step 107/23865 | Loss 0.7652 (avg 0.7374) | LR 3.64e-07 | Batch 0.87s | Elapsed 1m 33s | ETA 46h 15m 7s | Samples/s 2
[Epoch 1/1] Step 108/23865 | Loss 1.6111 (avg 0.7455) | LR 3.64e-07 | Batch 0.85s | Elapsed 1m 34s | ETA 46h 14m 25s | Samples/s 2
[Epoch 1/1] Step 109/23865 | Loss 0.4430 (avg 0.7428) | LR 3.64e-07 | Batch 0.91s | Elapsed 1m 35s | ETA 46h 15m 39s | Samples/s 2
[Epoch 1/1] Step 110/23865 | Loss 0.5197 (avg 0.7407) | LR 3.64e-07 | Batch 0.87s | Elapsed 1m 36s | ETA 46h 15m 36s | Samples/s 2
[Epoch 1/1] Step 111/23865 | Loss 0.8337 (avg 0.7416) | LR 3.64e-07 | Batch 0.87s | Elapsed 1m 36s | ETA 46h 15m 30s | Samples/s 2
[Epoch 1/1] Step 112/23865 | Loss 0.3758 (avg 0.7383) | LR 3.92e-07 | Batch 1.09s | Elapsed 1m 37s | ETA 46h 21m 45s | Samples/s 2
